latintext	translation
Quid enim potest esse tam dissimile quam illo imperante exhaustam esse sumptibus et iacturis prouinciam, nobis eam obtinentibus nummum nullum esse erogatum nec priuatim nec publice?	Mas se Ápio, como indicava a carta de Bruto, que ele enviou a ti, me agradece, não o levo a mal, mas nesse mesmo dia em que escrevo esta antes do amanhecer, penso em anular muitas coisas dele estabelecidas e realizadas de modo injusto.
Quid dicam de illius praefectis, comitibus, legatis etiam?	3 Agora venho a Bruto, a quem eu, a teu conselho, acolhi com todo interesse, a quem também eu tinha começado a estimar;
De rapinis, de libidinibus, de contumeliis?	mas digo com franqueza, voltei atrás para não te ofender.
Nunc autem domus mehercule nulla tanto consilio aut tanta disciplina gubernatur aut tam modesta est quam nostra tota prouincia.	Pois não julgues que eu tenha querido algo mais do que satisfazer os seus encargos e que em relação a nenhuma outra coisa eu tenho me esforçado mais.
Haec non nulli amici Appi ridicule interpretantur, qui me idcirco putent bene audire uelle ut ille male audiat et recte facere non meae laudis sed illius contumeliae causa.	Ele, por sua vez, me deu uma lista de encargos e sobre essas mesmas coisas tu tinhas tratado comigo.
Sin Appius, ut Bruti litterae quas ad te misit significabant, gratias nobis agit, non moleste fero, sed tamen eo ipso die quo haec ante lucem scribebam cogitabam eius multa inique constituta et acta tollere.	Levei tudo a cabo com a maior presteza.
3 Nunc uenio ad Brutum, quem ego omni studio te auctore sum complexus, quem etiam amare coeperam;	Em primeiro lugar, pedi a Ariobárzanes que ele lhe desse os talentos que me prometia.
sed plane dico, me reuocaui ne te offenderem.	Enquanto o rei esteve comigo, a coisa estava em excelente situação;
Noli enim putare me quicquam maluisse quam ut mandatis satis facerem nec ulla de re plus laborasse.	depois ele começou a ser pressionado por seiscentos procuradores de Pompeu.
Mandatorum autem mihi libellum dedit, isdemque de rebus tu mecum egeras.	E Pompeu sozinho tem, por diversas razões, mais poder que todos os outros, mas principalmente porque se julga que ele virá para a guerra contra os partos.
Omnia sum diligentissime persecutus.	A ele, contudo, se paga assim agora:
Primum ab Ariobarzane sic contendi, ut talenta quae mihi pollicebatur illi daret.	cada trinta dias trinta e três talentos áticos, e isto sai dos impostos;
Quoad mecum rex fuit, perbono loco res erat;	e isso não cobre suficientemente nem o juro mensal.
post a Pompei procuratoribus sescentis premi coeptus est.	Mas o nosso amigo Cneu suporta isso com clemência;
Pompeius autem cum ob ceteras causas plus potest unus quam ceteri omnes, tum quod putatur ad bellum Parthicum esse uenturus.	não tem capital, e se contenta com esse lucro não sólido.
Ei tamen sic nunc soluitur:	Ele (o rei) não para a nenhum outro nem pode pagar;
tricesimo quoque die talenta Attica XXXIII, et hoc ex tributis;	pois não tem nenhum erário, nenhum imposto.
nec id satis efficitur in usuram menstruam.	exige tributos com a regulamentação de Ápio;
Sed Gnaeus noster clementer id fert;	esses mal são suficientes para cobrir o rendimento de Pompeu.
sorte caret, usura nec ea solida contentus est.	Dois ou três amigos do rei são muito ricos, mas esses mantêm o seu com tanto empenho quanto eu ou tu.
Alii neque soluit cuiquam nec potest soluere;	Na verdade, não deixo, contudo, de rogar, de persuadir, de repreender o rei, por cartas.
nullum enim aerarium, nullum uectigal habet.	4 Dejótaro me contou também que enviou legados a ele a respeito do caso de Bruto;
Appi instituto tributa imperat;	que eles lhe trouxeram a resposta de que ele não tinha.
ea uix in faenus Pompei quod satis sit efficiunt.	E, por hércules, eu também julgo assim, não há nada mais espoliado do que aquele reino, nada mais pobre do que o rei.
Amici regis duo tresue perdiuites sunt, sed ii suum tam diligenter tenent quam ego aut tu.	E assim eu penso ou abdicar de minha tutela ou, como Cévola em favor de Glabrião, rejeitar o lucro e o rendimento.
Equidem non desino tamen per litteras rogare, suadere, accusare regem.	Eu, contudo, concedi as prefeituras que tinha prometido por tua intervenção a Bruto a Marco Escápcio e Lúcio Gávio, que se ocupavam do assunto de Bruto no reino;
4 Deiotarus etiam mihi narrauit se ad eum legatos misisse de re Bruti;	pois não estavam comerciando em minha província.
eos sibi responsum rettulisse illum non habere.	E tu te lembras de que nós atuamos de tal modo que ele tomasse quantas prefeituras quisesse, desde que não para um comerciante;
Et mehercule ego ita iudico, nihil illo regno spoliatius, nihil rege egentius.	e assim lhe dei além disso duas, mas aqueles para os quais ele tinha solicitado tinham ido embora da província.
Itaque aut tutela cogito me abdicare aut, ut pro Glabrione Scaeuola, faenus et impendium recusare.	5 Agora inteira-te sobre a gente de Salamina, pois vejo que também a ti te pegou de surpresa tal qual a mim.
Ego tamen quas per te Bruto promiseram praefecturas M.	Pois nunca ouvi dele que o dinheiro era seu;
Scaptio, L.	e ainda mais, tenho apontamentos dele em que está:
Gauio, qui in regno rem Bruti procurabant, detuli;	“Os salminos devem dinheiro a Marco Escápcio e Públio Matínio, amigos meus”.
nec enim in prouincia mea negotiabantur.	Ele os recomenda a mim;
Tu autem meministi nos sic agere ut quot uellet praefecturas sumeret, dum ne negotiatori;	acrescenta ainda, e, por assim dizer, me estimula, que interpôs em favor deles uma grande quantia.
itaque duas ei praeterea dederam, sed ii quibus petierat de prouincia decesserant.	Eu consegui que pagassem juros de um por cento mensal com acumulação de juros cada ano.
5 Nunc cognosce de Salaminis, quod uideo tibi etiam nouum accidisse, tamquam mihi.	Mas Escápcio pedia quatro por cento.
Numquam enim ex illo audiui illam pecuniam esse suam;	Tive medo de que, se ele conseguisse, tu próprio deixarias de gostar de mim;
quin etiam libellum ipsius habeo in quo est “Salamini pecuniam debent M.	pois eu teria me afastado de meu edito e teria arruinado completamente uma cidade colocada sob a proteção de Catão e do próprio Bruto e provida de meus favores.
Scaptio et P.	6 E neste mesmo momento Escápcio me lança uma carta de Bruto:
Matinio, familiaribus meis”.	que aquele assunto o afetava, o que Bruto nunca dissera nem a mim nem a ti, que também concedesse a prefeitura a Escápcio.
Eos mihi commendat;	Mas, por teu intermédio, tínhamos feito uma exceção, a nenhum comerciante;
adscribit etiam et quasi calcar admouet intercessisse se pro iis magnam pecuniam.	e se a algum, a este, contudo, não.
Confeceram ut soluerent centesimis †sexenni† ductis cum renouatione singulorum annorum.	Pois tinha sido prefeito de Ápio e tinha tido esquadrões de cavalarias, com os quais tinha sitiado em Salamina o senado encerrado na cúria, de modo que cinco senadores morreram de fome.
At Scaptius quaternas postulabat.	E assim eu, no dia em pus o pé na província, quando os legados de Chipre tinham vindo ao meu encontro em Éfeso, mandei uma carta para que os cavaleiros fossem imediatamente embora da ilha.
Metui, si impetrasset, ne tu ipse me amare desineres;	Por causa dessas coisas, creio que Escápcio escreveu a Bruto algo mais injusto sobre mim.
nam ab edicto meo recessissem et ciuitatem in Catonis et in ipsius Bruti fide locatam meisque beneficiis ornatam funditus perdidissem.	Mas, mesmo assim, estou com este ânimo:
6 Atque hoc tempore ipso impingit mihi epistulam Scaptius a Bruto rem illam suo periculo esse, quod nec mihi umquam Brutus dixerat nec tibi, etiam ut praefecturam Scaptio deferrem.	se Bruto julgar que me era necessário decretar quatro por cento, quando em toda a província eu mantinha um por cento e assim eu tinha editado e isso era até mesmo aprovado pelos mais rigorosos prestamistas, se se queixar de que tenha sido denegada a um comerciante a prefeitura, pois eu neguei ao nosso Torquato no caso de teu amigo Lênio, ao próprio Pompeu no caso de Sexto Estácio e obtive a aprovação deles, se levar a mal a retirada dos cavaleiros, vou sofrer, sem dúvida, por ele estar irritado comigo, mas vou sofrer muito mais por ele não ser tal e qual eu o julgava.
Id uero per te exceperamus, ne negotiatori;	7 Em todo caso, Escápcio reconhecerá isto:
quod si cuiquam, huic tamen non.	que, enquanto eu administrava a justiça, ele teve a possibilidade de auferir todo o dinheiro, de acordo com meu edito.
Fuerat enim praefectus Appio, et quidem habuerat turmas equitum, quibus inclusum in curia senatum Salamine obsederat, ut fame senatores quinque morerentur.	Acrescento ainda algo que temo que nem mesmo de ti eu tenha aprovação:
Itaque ego, quo die tetigi prouinciam, cum mihi Cyprii legati Ephesum obuiam uenissent, litteras misi ut equites ex insula statim decederent.	os juros, que havia em meu edito, deviam cessar;
His de causis credo Scaptium iniquius de me aliquid ad Brutum scripsisse.	queriam fazer o depósito:
Sed tamen hoc sum animo:	obtive dos salamínios que calassem.
si Brutus putabit me quaternas centesimas oportuisse decernere, cum tota prouincia singulas obseruarem itaque edixissem idque etiam acerbissimis faeneratoribus probaretur, si praefecturam negotiatori denegatam queretur, quod ego Torquato nostro in tuo Laenio, Pompeio ipsi in Sex.	Eles me fizeram esse favor, mas o que acontecerá a eles se Paulo vier aqui?
Statio negaui et iis probaui, si equites deductos moleste feret, accipiam equidem dolorem mihi illum irasci sed multo maiorem non esse eum talem qualem putassem.	Mas eu concedi tudo isto a Bruto;
7 Illud quidem fatebitur Scaptius, me ius dicente sibi omnem pecuniam ex edicto meo auferendi potestatem fuisse.	e ele te escreveu uma carta muito compreensiva sobre mim, a mim, porém, mesmo quando pede algo, costuma escrever de modo contumaz, arrogante, sem sentido comum.
Addo etiam illud, quod uereor tibi ipsi ut probem:	Tu, porém, eu gostaria que escrevesses a ele sobre essas coisas, para que eu saiba como ele toma isso;
consistere usura debuit, quae erat in edicto meo;	pois tu me informarás.
deponere uolebant:	E, em carta anterior, eu te havia escrito isto detalhadamente, mas quis que compreendesses claramente que não me esqueci daquilo que tu me tinhas escrito em um determinada carta:
impetraui a Salaminis ut silerent.	se eu não tivesse levado desta província nenhuma outra coisa a não ser a boa disposição dele, isso me seria suficiente.
Veniam illi quidem mihi dederunt, sed quid iis fiet si huc Paulus uenerit?	Que seja, já que tu queres assim, mas contudo, creio, com a condição de que se faça sem transgressão minha.
Sed totum hoc Bruto dedi;	Portanto, por meu decreto, a coisa foi imediatamente resolvida para Escápcio.
qui de me ad te humanissimas litteras scripsit, ad me autem, etiam cum rogat aliquid, contumaciter, adroganter, ἀκοινονοήτως solet scribere.	O quanto isso é justo tu julgarás;
Tu autem uelim ad eum scribas de his rebus, ut sciam quo modo haec accipiat;	não vou apelar nem mesmo a Catão.
facies enim me certiorem.	8 Mas não julgues que eu rechacei aqueles teus avisos que estão gravados em minhas vísceras.
Atque haec superioribus litteris diligenter ad te perscripseram, sed plane te intellegere uolui mihi non excidisse illud quod tu ad me quibusdam litteris scripsisses, si nihil aliud de hac prouincia nisi illius beneuolentiam deportassem, mihi id satis esse.	Chorando, me encomendaste a minha reputação;
Sit sane, quoniam ita tu uis, sed tamen cum eo, credo, quod sine peccato meo fiat.	que carta tua há em que não faças menção a ela?
Igitur meo decreto soluta res Scaptio statim.	Por isso que fique irritado quem quiser, eu suportarei;
Quam id rectum sit tu iudicabis;	“pois o bem está do meu lado”, principalmente quando eu próprio me sujeitei a seis livros como garantias, os quais fico contente que sejam tão grandemente aprovados por ti.
ne ad Catonem quidem prouocabo.	Destes perguntas um único ponto histórico a respeito de Cneu Flávio, filho de Ânio.
8 Sed noli me putare ἐγκελεύσματα illa tua abiecisse, quae mihi in uisceribus haerent.	Ele, na verdade, não existiu antes dos decênviros, visto que ele foi edil curul, magistratura que foi instituída muitos anos depois dos decênviros.
Flens mihi meam famam commendasti;	De que serviu então o fato de ter publicado o calendário?
quae epistula tua est in qua mentionem non facias?	Creem que essa tabuinha esteve oculta por um certo tempo, para que os dias hábeis fossem consultados por poucos;
Itaque irascatur qui uolet, patiar;	e, na verdade, não são poucos os autores que sustentam que o escriba Cneu Flávio publicou o calendário e compôs as ações, não penses que eu ou antes o Africano (pois é ele que fala) inventamos uma ficção;
“τὸ γὰρ εὖ μετ' ἐμοῦ”, praesertim cum sex libris tamquam praedibus me ipse obstrinxerim, quos tibi tam ualde probari gaudeo.	não te passou despercebido aquilo sobre o gesto do ator?
E quibus unum ἱστορικὸν requiris de Cn.	Tu suspeitas de modo criminoso, eu escrevi sem segundas intenções.
Flauio, Anni filio.	9 A respeito de minha aclamação como imperator, escreves que ficaste sabendo por uma carta de Filótimo;
Ille uero ante decemuiros non fuit, quippe qui aedilis curulis fuerit, qui magistratus multis annis post decemuiros institutus est.	mas creio que tu, já que estás em Epiro, recebeu duas minhas sobre todos os assuntos, uma após a tomada de Pindenisso, outra de Laodicéia, ambas entregues a teus escravos.
Quid ergo profecit, quod protulit fastos?	Sobre esses assuntos, enviei oficialmente a Roma uma carta por intermédio de dois carteiros por causa dos riscos do mar.
Occultatam putant quodam tempore istam tabulam, ut dies agendi peterentur a paucis;	10 A respeito de Túlia, estou de acordo contigo e escrevi a ela e a Terência que me agrada;
nec uero pauci sunt auctores Cn.	pois tu já tinhas me escrito antes “e eu queria que voltasses ao teu antigo grupo”.
Flauium scribam fastos protulisse actionesque composuisse, ne me hoc uel potius Africanum (is enim loquitur) commentum putes;	Corrigida a carta de Mêmio, não houve nenhum problema;
οὐκ ἔλαθέ σε illud de gestu histrionis?	pois eu prefiro em muito este candidato de Pontídia do que aquele de Servília.
Tu sceleste suspicaris, ego ἀφελῶς scripsi.	Por isso busca o nosso amigo Saufeio, homem que sempre me estimou, agora ainda mais, creio, porque deve ter acrescentado, junto com a herança restante, o afeto de seu irmão Ápio para comigo, o qual declarou frequentemente o quanto me apreciava, especialmente no caso de Bursa.
9 De me imperatore scribis te ex Philotimi litteris cognosse;	Certamente tu me livrarás de uma grande preocupação.
sed credo te, iam in Epiro cum esses, binas meas de omnibus rebus accepisse, unas a Pindenisso capto, alteras Laodicea, utrasque tuis pueris datas.	11 A exceção de Fúrnio não me agrada;
Quibus de rebus propter casum nauigandi per binos tabellarios misi Romam publice litteras.	pois eu não temo nenhum outro período, a não ser o único que ele excetua.
10 De Tullia mea tibi adsentior scripsique ad eam et ad Terentiam mihi placere;	Mas eu te escreveria mais sobre isso, se estivesses em Roma.
tu enim ad me iam ante scripseras “ac uellem te in tuum ueterem gregem rettulisses”.	Não fico surpreso que ponhas em Pompeu toda esperança de paz;
Correcta uero epistula Memmiana nihil negoti fuit;	assim está a coisa e penso que deve ser removido aquele “dissimulando”.
multo enim malo hunc a Pontidia quam illum a Seruilia.	Mas, com efeito, se minha ordem está mais caótica, pôe em ti a culpa;
Qua re adiunges Saufeium nostrum, hominem semper amantem mei, nunc credo eo magis quod debet etiam fratris Appi amorem erga me cum reliqua hereditate creuisse, qui declarauit quanti me faceret cum saepe tum in Bursa.	pois sigo tuas improvisações.
Ne tu me sollicitudine magna liberaris.	12 Os meninos Cíceros se estimam entre si, aprendem, se exercitam;
11 Furni exceptio mihi non placet;	mas um, como disse Isócrates em relação a Éforo e a Teopompo, precisa de freio, o outro, de espora.
nec enim ego ullum aliud tempus timeo nisi quod ille solum excipit.	Penso em dar a toga branca a Quinto nas Liberalia;
Sed scriberem ad te de hoc plura, si Romae esses.	pois seu pai me encarregou.
In Pompeio te spem omnem oti ponere non miror;	Vou considerar como se não houvesse intercalação de dia.
ita res est, remouendumque censeo illud “dissimulantem”.	Dionísio goza de minha afeição.
Sed enim οἰκονομία si perturbatior est, tibi adsignato;	Os meninos, porém, dizem que ele fica furiosamente irritado;
te enim sequor σχεδιάζοντα.	mas não pode haver um homem mais sábio, nem mais virtuoso, nem mais afetuoso contigo e comigo.
12 Cicerones pueri amant inter se, discunt, exercentur;	13 Ouves que Termo e Sílio são louvados com razão;
sed alter, ut Isocrates dixit in Ephoro et Theopompo, frenis eget, alter calcaribus.	eles se comportam muito honestamente.
Quinto togam puram Liberalibus cogitabam dare;	Acrescenta Marco Nônio, Bíbulo e a mim, se quiseres.
mandauit enim pater.	Queria que Escrofa tivesse agora onde tivesse mais poder;
Ea sic obseruabo quasi intercalatum non sit.	pois é um esplêndido indivíduo.
Dionysius mihi quidem in amoribus est.	Os demais consolidam o sistema político de Catão.
Pueri autem aiunt eum furenter irasci;	Por recomendares minha causa a Hortênsio, fico muito agradecido.
sed homo nec doctior nec sanctior fieri potest nec tui meique amantior.	A respeito de Amiano, Dionísio considera não haver nenhuma esperana.
13 Thermum, Silium uere audis laudari;	Não percebi nenhum vestígio de Terêncio.
ualde se honeste gerunt.	Merágenes sem dúvida morreu;
Adde M.	fiz um percurso por sua propriedade e nela não resta nenhum ser vivo.
Nonium, Bibulum, me si uoles.	Isto eu não sabia quando falei sobre essas coisas com o teu Demócrito.
Iam Scrofa uellem haberet ubi posset;	Encarreguei as vasilhas de Roso.
est enim lautum negotium.	Mas olha lá!
Ceteri firmant πολίτευμα Catonis.	o que estás pensando?
Hortensio quod causam meam commendas ualde gratum.	Costumas nos alimentar com verdurinhas em pratos cinzelados com folhas de feto e em magníficos cestos:
De Amiano, spei nihil putat esse Dionysius.	o que eu devo pensar que porás em vasilhas de barro?
Terenti nullum uestigium agnoui.	Uma flauta foi encarregada a Fêmio.
Moeragenes certe periit;	Será encontrada, desde que cante algo digno dela.
feci iter per eius possessionem, in qua animal reliquum nullum est.	14 É iminente a guerra dos partos.
Haec non noram tum cum de ea re cum Democrito tuo locutus sum.	Cássio enviou uma carta inepta, e a de Bíbulo ainda não chegou;
Rhosica uasa mandaui.	lidas essas coisas, acho que enfim o senado haverá de se mover.
Sed heus tu, quid cogitas?	Na verdade estou numa grande perturbação de ânimo.
In felicatis lancibus et splendidissimis canistris holusculis nos soles pascere:	Se, como desejo, minha tarefa não é prorrogada, tenho junho e quintil [julho] em medo.
quid te in uasis fictilibus appositurum putem?	Seja;
κέρας Phemio mandatum est.	Bíbulo, na verdade, resistirá por dois meses.
Reperietur, modo aliquid illo dignum canat.	O que acontecerá com aquele que eu deixar, principalmente se é meu irmão?
14 Parthicum bellum inpendet.	E comigo, se não parto tão rápido?
Cassius ineptas litteras misit, necdum Bibuli erant adlatae;	É um grande problema.
quibus recitatis puto fore ut aliquando commoueatur senatus.	Para mim, contudo, convim com Dejótaro para que ele estivesse com todas as suas tropas em meu acampamento;
Equidem sum in magna animi perturbatione.	ele tem trinta coortes de quatrocentos homens, armadas a nosso estilo e dois mil cavaleiros.
Si, ut opto, non prorogatur nostrum negotium, habeo Iunium et Quintilem in metu.	Será para resistir até que Pompeu chegue, ele que em uma carta que me enviou indica que aquela tarefa será sua.
Esto;	Os partos passam o inverno em nossa província;
duo quidem mensis sustinebit Bibulus.	Orodes em pessoa é esperado.
Quid illo fiet quem reliquero, praesertim si fratrem?	O que queres?
Quid me autem, si non tam cito decedo?	Há bastante tarefa.
Magna turba est.	15 Acerca do edito de Bíbulo, nada de novo além daquela exceção de que tu tinhas escrito a mim “um prejuízo bastante grave em nossa ordem”.
Mihi tamen cum Deiotaro conuenit ut ille in meis castris esset cum suis copiis omnibus;	Eu, contudo, tenho uma com o mesmo valor, mas mais dissimulada, procedente do edito asiático de Quinto Múcio, filho de Públio, “exceto se a transação tenha sido realizada de tal modo que não convém mantê-la de acordo com a boa fé”;
habet autem cohortis quadringenarias nostra armatura XXX, equitum CI CI.	tenho seguido muitos preceitos de Cévola, entre esses aquele no qual os gregos consideram que lhes foi dada a liberdade para que os gregos decidam entre si de acordo com suas próprias leis.
Erit ad sustentandum quoad Pompeius ueniat, qui litteris quas ad me mittit significat suum negotium illud fore.	O edito, porém, é curto devido a esta minha divisão, porque julguei que ele devia ser estabelecido em dois tipos:
Hiemant in nostra prouincia Parthi;	um desses tipos é o provincial, em que estão incluídas as contas das cidades, as dívidas, os juros, os contratos e no mesmo tudo a respeito dos publicanos;
exspectatur ipse Orodes.	o outro, aquilo que nao pode ser levado a cabo suficientemente bem sem um edito, a possessão das heranças, a posse dos bens, a eleição dos síndicos, a venda dos bens, coisas que costumam ser demandadas e feitas a partir de um edito.
Quid quaeris?	O terceiro, acerca do restante da administração da justiça, deixei sem escrita.
Aliquantum est negoti.	Eu disse que acomodaria meus decretos desse tipo aos editos urbanos, e assim cuido e satisfaço até agora a todo mundo.
15 De Bibuli edicto, nihil noui praeter illam exceptionem de qua tu ad me scripseras “nimis graui praeiudicio in ordinem nostrum”.	Os gregos, na verdade, estão exultantes porque se utilizam de juízes estrangeiros.
Ego tamen habeo ἰσοδυναμοῦσαν sed tectiorem ex Q.	“Charlatães, na verdade” dirás.
Muci P.	O que importa?
f.	Eles consideram que adquiriram autonomia.
edicto Asiatico, “extra quam si ita negotium gestum est ut eo stari non oporteat ex fide bona”;	Pois os nossos, creio, têm gente séria, o sapateiro Turpião e o empresário Vétio.
multaque sum secutus Scaeuolae, in iis illud in quo sibi libertatem censent Graeci datam, ut Graeci inter se disceptent suis legibus.	16 Parece que queres saber o que faço a respeito dos publicanos.
Breue autem edictum est propter hanc meam διαίρεσιν, quod duobus generibus edicendum putaui;	Tenho-os em bem-querença, condescendo com eles, louvo-os e adorno com palavras:
quorum unum est prouinciale, in quo inest de rationibus ciuitatum, de aere alieno, de usura, de syngraphis, in eodem omnia de publicanis;	consigo que não sejam molestos a ninguém.
alterum quod sine edicto satis commode transigi non potest, de hereditatum possessionibus, de bonis possidendis, magistris faciendis, bonis uendendis, quae ex edicto et postulari et fieri solent.	O mais surpreendente:
Tertium de reliquo iure dicundo ἄγραφον reliqui.	os juros que eles tinham especificados nos contratos até Servílio manteve;
Dixi me de eo genere mea decreta ad edicta urbana accommodaturum, itaque curo et satis facio adhuc omnibus.	eu assim:
Graeci uero exsultant quod peregrinis iudicibus utuntur.	estabeleço um prazo bastante amplo, se pagarem antes desse, digo que considerarei um por cento ao mês;
“Nugatoribus quidem” inquies.	se não pagarem, será de acordo com o contrato.
Quid refert?	E assim os gregos pagam um juro tolerável e para os publicanos a situação é muito boa, pois já têm aquelas coisas com plena medida, a honra das palavras e frequente convite.
Ii se αὐτονομίαν adeptos putant.	O que mais?
Nostri enim, credo, grauis habent, Turpionem sutorium et Vettium mancipem.	São todos tão amigos meus que cada um se considera o maior;
16 De publicanis quid agam uideris quaerere.	mas “nada os.
Habeo in deliciis, obsequor, uerbis laudo, orno:	.
efficio ne cui molesti sint.	.”
τὸ παραδοξότατον:	sabes o resto.
usuras eorum quas pactionibus adscripserant seruauit etiam Seruilius;	17 Com relação à estátua do Africano (ó assuntos mais desconexos!
ego sic:	mas é precisamente isso que me deliciou em tua carta), o que tu dizes?
diem statuo satis laxam, quam ante si soluerint, dico me centesimas ducturum, si non soluerint, ex pactione.	Este Cipião Metelo não sabe que seu bisavô não foi censor?
Itaque et Graeci soluunt tolerabili faenore et publicanis res est gratissima, si illa iam habent pleno modio, uerborum honorem, inuitationem crebram.	E essa estátua, que está no alto perto da parte posterior do templo de Ops não teve nada mais inscrito a não ser “cos.”
Quid plura?	Porém, naquela que está junto ao Hércules de Policles está inscrito “cos.
Sunt omnes ita mihi familiares ut se quisque maxime putet;	Cens.”
sed tamen “μηδὲν αὐτοῖς” - scis reliqua.	;
17 De statua Africani (ὢ πραγμάτων ἀσυγκλώστων!	e que essa estátua é do mesmo a estatura, o manto, o anel, a própria imagem indicam.
sed me id ipsum delectauit in tuis litteris), ain tu?	Mas, por hércules, eu, quando notei no esquadrão das estátuas equestres douradas que este Metelo pôs no Capitólio uma imagem do Africano com o nome de Sarapião escrito embaixo, achei que era erro do operário, agora vejo que é de Metelo.
Scipio hic Metellus proauum suum nescit censorem non fuisse?	Ó vergonhoso erro histórico!
Atqui nihil habuit aliud inscriptum nisi “cos.”	18 Pois o de Flávio e dos fastos, se é de outro modo, é um erro comum;
ea statua quae ab Opis parte postica in excelso est.	e tu estavas lindamente em dúvida e nós mais ou menos seguimos a opinião pública, como muitas coisas entre os gregos.
In illa autem quae est ad Πολυκλέους Herculem inscriptum est “cos.	Pois quem não disse que Eupólis, o da comédia antiga, foi atirado ao mar por Alcibíades, quando navegava para a Sicília?
Cens.”	Eratóstenes refuta isso;
;	pois apresenta as comédias que ele representou depois daquela data.
quam esse eiusdem status, amictus, anulus, imago ipsa declarat.	Por acaso Dúris de Samos, homem diligente em História, é objeto de riso por que errou junto com muitos?
At mehercule ego, cum in turma inauratarum equestrium quas hic Metellus in Capitolio posuit animaduertissem in Sarapionis subscriptione Africani imaginem, erratum fabrile putaui, nunc uideo Metelli.	Quem não disse que Zaleuco escreveu as leis de Locros?
o ἀνιστορησίαν turpem!	Por acaso Teofrasto está então abatido por isso ter sido repreendido por Timeu, teu amigo?
18 Nam illud de Flauio et fastis, si secus est, commune erratum est;	Mas é vergonhoso não saber que seu próprio bisavô não foi censor, sobretudo quando, após ter sido ele cônsul, não houve nenhum Cornélio censor, enquanto ele esteve vivo.
et tu belle ἠπόρησας et nos publicam prope opinionem secuti sumus, ut multa apud Graecos.	19 Quanto ao que escreves sobre Filótimo e sobre o pagamento de 20.
