sentence_id	translation	translator	sameEdition
OviExPont-CLL-0043	Como a nau podre é devorada por um caruncho oculto, como a onda salgada do mar cava os rochedos, como o ferro abandonado é corroído pela mordaz ferrugem, como o livro guardado é atacado pela boca da traça, assim também meu peito tem as contínuas mordidas das preocupações, pelas quais será consumido sem fim.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0044	E estes martírios não abandonarão minha mente antes que a vida e o que sofre tombará mais depressa que a própria dor.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0045	Se os deuses, aos quais tudo pertence, me derem crédito, talvez serei tido digno de uma modesta ajuda e serei mudado para um lugar livre do arco dos citas	José Dejalma Dezotti	TRUE
OviExPont-CLL-0046	Se eu pedir mais do que isto, serei um caradura.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0001	Irás sem mim, pequeno livro (e não te odeio por isso), para a cidade, aonde, ai de mim, não é permitido a teu dono ir!	José Dejalma Dezotti	FALSE
OviTrist-CLL-0002	Vai, mas sem adornos, como convém ser o livro de um exilado; toma, infeliz, a vestimenta desta circunstância.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0003	Que as tintas do mirtilo não te cubram com sua cor purpúrea (não é conveniente ao luto essa cor) e que teu título não seja assinalado pelo vermelhão, nem tuas folhas de papiro pela resina do cedro, nem tragas chifres brancos no negro fronstispício.	José Dejalma Dezotti	FALSE
OviTrist-CLL-0004	Que estes ornamentos enfeitem os livrinhos felizes:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0005	a ti convém ser a lembrança de minha fortuna.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0006	Que não sejam polidas tuas duplas páginas pela frágil pedra pomes, para seres visto hirsuto com teus cabelos desgrenhados.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0007	E não te envergonhes dos borrões; quem os vir, perceba que foram feitos com minhas lágrimas.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0008	Vai, livro, e saúda com minhas palavras os lugares agradáveis:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0009	vou ao menos tocá-los com o pé com que é permitido.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0010	Se alguém ali, ainda que no povo, não deslembrado de mim, se alguém houver que queira por acaso saber como eu vou, dirás que estou vivo, negarás, contudo, que eu esteja bem; que tenho também o fato de estar vivo como um presente de um deus	José Dejalma Dezotti	TRUE
OviTrist-CLL-0011	E assim tu, calado, (deves ser lido por quem quer saber mais) cuidado para eventualmente não falares o que não é preciso!	José Dejalma Dezotti	FALSE
OviTrist-CLL-0012	Imediatamente o leitor, advertido, lembrará os meus delitos e serei perseguido como um reu público pela boca do povo.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0013	Tu, não te defendas, mesmo que sejas atacado com ditos mordazes:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0014	uma causa não boa ficará pior com a defesa.	José Dejalma Dezotti	FALSE
OviTrist-CLL-0015	encontrarás alguém, que lamente a minha perda, que leia estes poemas com as faces não enxutas, e calado, para que nenhum maldoso ouça, deseje consigo que, abrandado César, minha pena seja leve.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0016	Eu também suplico que não seja infeliz aquele, seja quem for, que desejar que os deuses sejam benignos aos infelizes; que o que ele desejar se cumpra e aplacada a ira do príncipe, me conceda poder morrer nos lares pátrios.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0017	Para que cumpras essas ordens, ó livro, serás talvez criticado e considerado menor do que a glória de meu talento.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0018	É dever do juiz verificar os fatos assim como as circunstâncias dos fatos;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0019	verificadas as circunstâncias, estarás seguro.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0020	Os poemas provêm tirados de um espírito sereno:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0021	minha existência está nublada por males inesperados.	José Dejalma Dezotti	FALSE
OviTrist-CLL-0022	Os poemas requerem solidão e paz de quem os escreve; a mim me abate o mar, me abatem os ventos, me abate o feroz inverno.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0023	Aos poemas todo medo atrapalha:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0024	eu, desesperado, acho que logo-logo uma espada será fixada em minha garganta.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0025	Um juiz imparcial vai admirar também isto que faço e lerá com benevolência meus escritos, quaisquer que sejam.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0026	Dá-me o Meônida e põe a sua volta tantas desventuras: todo o seu talento sucumbirá diante de tantos males.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0027	Enfim, indiferente ao que dirão, ó livro, lembra-te de ir e, lido, não te envergonhes de ter desagradado.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0028	A Fortuna não se apresenta tão propícia a nós que devas levar em conta a razão de teu louvor.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0029	Enquanto estava a salvo, eu era tocado pelo amor da glória e havia para mim o ardor de buscar o bom nome;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0030	agora já é suficiente se eu não odeio a poesia e esse gosto, que me prejudicou;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0031	o desterro foi gerado pelo meu talento.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0032	Contudo, vai tu em meu lugar, tu, a quem é permitido, contempla Roma; fizessem os deuses, eu pudesse agora ser o meu livro!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0033	E não penses que podes chegar desconhecido pelo povo, só porque chegas como estrangeiro à grande cidade.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0034	Ainda que não tenhas título, serás reconhecido por tua própria cor; por mais que queiras dissimular, é evidente que tu és meu.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0035	Entra, contudo, escondido, para que meus poemas não te prejudiquem; não são como eram os de outrora cheios de simpatia.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0036	Se houver alguém que, porque és meu, julgue que não deves ser lido e te repila de seu regaço, diz: “olha meu título: não sou um mestre do amor; aquela obra já pagou as penas que mereceu.”	José Dejalma Dezotti	FALSE
OviTrist-CLL-0037	Talvez esperes que por acaso eu te ordene que subas, enviado ao alto Palatino e à mansão de César.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0038	Que me perdoem esses augustos lugares e os deuses de tais lugares.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0039	Veio daquela cidadela o raio nesta cabeça.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0040	Sem dúvida eu lembro que divindades muito clementes existem naquelas sedes, mas temo os deuses que fizeram mal.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0041	Com o menor rumor de tuas asas, gavião, a pomba ferida por tuas garras fica aterrorizada.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0042	E se alguma ovelha foi arrebatada dos dentes de um lobo faminto, ela não ousa afastar-se para longe dos apriscos.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0043	Faetonte evitaria o céu, se estivesse vivo, e não iria querer conduzir os cavalos que tolamente tinha desejado.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0044	Eu também confesso que temo as armas de Júpiter, que já senti: quando troveja, penso que estou sendo atingido por seu fogo hostil.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0045	Qualquer um da esquadra grega que escapou do [promontório] Cafareu desvia sempre as velas das águas da Eubéia;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0046	e a minha barquinha, batida uma vez por forte tempestade tem pavor de ir àquele lugar em que foi avariada.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0047	Portanto, cuidado, livro, e, com a mente tímida, tem cautela, de modo que seja suficiente para ti ser lido pela plebe mediana.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0048	Quando Ícaro se dirigiu com suas débeis asas para as imensas alturas, deu seu nome às águas do mar.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0049	É difícil, contudo, dizer se deves usar daqui remos ou vento; a ocasião e o lugar te darão o conselho.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0050	Se puderes ser apresentado num momento de folga, se vires tudo calmo, se a ira tiver quebrado suas próprias forças;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0051	se houver alguém que, estando tu hesitante e temeroso de se aproximar, te apresenta e, no entanto, fala antes umas poucas coisas, vai.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0052	Em um bom dia e tu próprio mais feliz do que teu dono, que chegues lá e alivies os nosso infortúnios.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0053	Pois ou ninguém ou só quem causou meus ferimentos pode, à maneira de Aquiles, tirá-los.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0054	Toma cuidado somente para não me prejudicares, enquanto queres ser útil; pois nossa esperança é menor do que o temor de meu espírito;	José Dejalma Dezotti	FALSE
OviTrist-CLL-0055	E cuidado para que a ira, que estava adormecida, atiçada não recrudesça e tu sejas outro motivo de castigo!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0056	Quando, contudo, fores recebido em nosso lar e encontrares na estante curva a tua morada, verás ali postos em ordem os teus irmãos, que um mesmo zelo dedicou a todos suas vigílias.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0057	O conjunto restante mostrará às claras seus títulos descobertos e trará no frontispício seus nomes manifestos; verás três que se escondem longe numa parte escura:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0058	estes, o que ninguém ignora, também ensinam a amar;	José Dejalma Dezotti	FALSE
OviTrist-CLL-0059	A estes, ou evita-os, ou, se tiveres suficiente descaramento, dá-lhes as denominações de Édipo e Telégono.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0060	E dos três, te aconselho a que, se tens alguma preocupação com teu pai, não ames a nenhum, mesmo que ele próprio te ensinar.	José Dejalma Dezotti	FALSE
OviTrist-CLL-0061	Há também três vezes cinco volumes de Metamorfose, poemas há pouco arrebatados de meus funerais.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0062	Encarrego-te de dizeres a estes que pode ser incluído entre os corpos transformados o rosto de minha fortuna, pois essa se tornou subitamente diferente da anterior, e é lamentável agora, foi feliz em algum tempo.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0063	Por certo, mais coisas eu tinha para encarregar-te, se queres saber, mas receio ter sido a causa de tua demorada viagem; e se levares contigo, livro, tudo o que me vem à mente, vais ser um grande fardo para quem for te levar.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0064	O caminho é longo, apressa-te!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0065	Será habitado por mim o último confim do mundo, uma terra muito longe de minha terra.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0066	Ó deuses do mar e do céu	José Dejalma Dezotti	TRUE
OviTrist-CLL-0067	(pois o que resta senão as súplicas),	José Dejalma Dezotti	TRUE
OviTrist-CLL-0068	abstende-vos de despedaçar as partes desta maltratada barca e não vos associeis, vos imploro, à ira do grande César:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0069	muitas vezes um outro deus leva socorro a quem um deus persegue.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0070	Mulcíbero estava contra Troia, Apolo, a favor de Troia;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0071	Vênus foi favorável aos teucros, Palas, hostil.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0072	Satúrnia [Juno], mais propícia a Turno, odiava Eneias;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0073	este, porém, era protegido pela divindade de Vênus.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0074	Muitas vezes o feroz Netuno atacou o cauteloso Ulisses;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0075	Minerva, muitas vezes, arrebatou-o de seu tio paterno.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0076	E, embora eu esteja distante deles, o que impede que alguma divindade me socorra contra um deus encolerizado?	José Dejalma Dezotti	TRUE
OviTrist-CLL-0077	Infeliz, eu perco em vão palavras que são inúteis.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0078	Pesadas ondas inundam a minha própria boca enquanto falo e o terrível Noto dispersa as minhas falas e não deixa que minhas preces cheguem aos deuses, aos quais são dirigidas.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0079	Então os mesmos ventos, para que eu não seja ferido por um só motivo, levam não sei para onde as nossas velas e súplicas.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0080	Desgraçado de mim, quão grandes montanhas de água se lançam em torno de mim!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0081	Pensarias que já-já atingirão os elevados astros.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0082	Quão grandes vales se abrem com as ondas fendidas!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0083	Pensarias que já-já atingirão o negro Tártaro.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0084	Para onde quer que eu olho, não há nada, a não ser mar e céu; um intumescido pelas ondas, o outro, ameaçador com suas nuvens.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0085	Entre ambos, rugem os ventos com espantoso zumbido.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0086	A onda do mar não sabe a que senhor obedecer.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0087	Pois ora o Euro toma forças do purpúreo levante, ora chega o Zéfiro enviado do tardio ocidente, ora o gélido Bóreas se enfurece desde o árido norte, ora o Noto faz guerra do lado oposto.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0088	O piloto está em dúvida e não encontra o que evitar ou buscar:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0089	sua própria perícia fica entorpecida diante dos incertos perigos.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0090	Evidentemente perecemos e não há nenhuma esperança de salvação; e enquanto falo, a onda cobre o meu rosto.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0091	A água vai impedir minha respiração e, em minha boca que suplica em vão, vou receber as águas assassinas.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0092	Mas minha virtuosa esposa não sofre por nenhuma outra coisa além de meu exílio:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0093	este é o meu único infortúnio que ela sabe e chora.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0094	Ela não sabe que meu corpo é sacudido no imenso mar, não sabe que sou batido pelo vento, não sabe que a morte está a meu lado.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0095	Ó felicidade por eu não ter consentido que ela embarcasse comigo, para que o desgraçado de mim não tivesse que sofrer a morte duas vezes!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0096	Mas agora, ainda que eu morra, visto que ela está livre do perigo, sobreviverei ao menos em minha outra metade.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0097	Ai de mim, como as nuvens brilharam com uma rápida chama!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0098	Que grande estrondo retumba do etéreo zênite!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0099	As tábuas dos costados não são golpeados pelas ondas com menos violência do que bate as muralhas o enorme peso da balista.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0100	Esta onda que chega sobrepuja todas as ondas:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0101	é posterior à nona, é anterior à undécima.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0102	Não temo a morte;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0103	mas é miserável esse tipo de morte; tira o naufrágio, a morte será um presente para mim.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0104	É alguma coisa que quem sucumbe pelo destino ou pela espada deponha seu corpo morrente em terra firme e fazer aos seus algumas recomendações e esperar uma sepultura e não ser alimento para os peixes do mar.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0105	Imaginai que sou digno de tal morte; não sou o único que é levado aqui.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0106	Por que meu castigo arrasta os que não a merecem?	José Dejalma Dezotti	TRUE
OviTrist-CLL-0107	Oh deuses do alto e deuses verdes, que tendes o governo dos mares, cessai já vós de ambos os lados as vossas ameaças;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0108	e a vida que me concedeu a suavíssima cólera de César, deixai que eu a leve, infeliz de mim, para os lugares ordenados.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0109	Se também quereis que eu pague a pena que mereci, minha culpa, sendo ele próprio juiz, é menor que a morte.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0110	Se César já tivesse querido enviar-me para as águas do Estige, não teria tido necessidade de vossa ajuda para isso.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0111	Ele tem o poder não odioso de nosso sangue;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0112	e o que deu, quando quiser, ele próprio tirará.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0113	Vós, ao menos, que, penso eu, certamente não ultrajei com nenhuma ofensa, contentai-vos, eu suplico, já com os meus infortúnios.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0114	E, no entanto, mesmo que todos vós queirais salvar este infeliz, um ser que sucumbiu já não pode ser salvo.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0115	Mesmo que o mar se acalme e eu desfrute de ventos favoráveis, mesmo que vós me poupeis, não vou ser menos exilado	José Dejalma Dezotti	TRUE
OviTrist-CLL-0116	Não é ávido de adquirir riquezas sem fim, permutando mercadorias, que eu sulco o vasto mar; nem me dirijo a Atenas, a que outrora me dirigi com desejos de estudar, nem às cidades da Ásia, nem a lugares já vistos antes;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0117	nem, levado para a ilustre cidade de Alexandre, para ver tuas delícias, festivo Nilo.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0118	Se desejo ventos propícios (quem poderia acreditar?) é a terra da Sarmácia, que minhas velas buscam,	José Dejalma Dezotti	TRUE
OviTrist-CLL-0119	Sou obrigado a atingir o inóspito litoral do lado esquerdo do Ponto;	José Dejalma Dezotti	TRUE
OviTrist-CLL-0120	e me queixo porque é tão lenta a fuga da pátria.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0121	Para ver os tomitas situados em não sei em que lugar do mundo, busco um caminho curto através de meus votos.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0122	Se me estimais, acalmai essas ondas tão enormes e que a vossa divindade seja benévola ao nosso barco; se muito me odiais, dirigi-me para a terra ordenada:	José Dejalma Dezotti	TRUE
OviTrist-CLL-0123	parte do meu suplício está nessa região.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0124	Levai minhas velas, rápidos ventos! (O que faço aqui?)	José Dejalma Dezotti	TRUE
OviTrist-CLL-0125	Por que minhas velas querem os limites ausônios?	José Dejalma Dezotti	TRUE
OviTrist-CLL-0126	César não quis isto: por que detendes quem ele envia ao desterro?	José Dejalma Dezotti	TRUE
OviTrist-CLL-0127	Que a terra do Ponto contemple meu rosto.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0128	E ele ordena e eu mereci; e não acho lícito e justo que sejam defendidos os delitos que ele tenha condenado.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0129	Se, no entanto, os atos dos mortais nunca enganam os deuses, sabeis que a maldade está longe de minha culpa.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0130	E mais, se assim sabeis, se o meu erro me alienou e minha mente foi tola, não perversa, se, o que é permitido até para os mais humildes, favorecemos àquela casa, se as ordens públicas de Augusto foram suficientes para mim, se, sendo ele imperador, eu disse que os séculos seriam prósperos e, ofertei incensos em honra de César e dos piedosos Césares, se o meu ânimo foi este , então poupai-me, ó deuses!	José Dejalma Dezotti	FALSE
OviTrist-CLL-0131	Se não, que uma alta onda, caindo sobre mim, cubra minha cabeça!	José Dejalma Dezotti	TRUE
OviTrist-CLL-0132	Estou enganado ou as pesadas nuvens começam a dissipar-se, e, vencida, a fúria do mar mudado se abranda?	José Dejalma Dezotti	TRUE
OviTrist-CLL-0133	Não é por acaso, sois vós, invocados mas sob condição, aos quais não há como enganar, que me trazeis este socorro.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0134	Quando me vem à mente a tristíssima imagem daquela noite, que para mim foi o último momento na cidade, quando recordo a noite em que deixei tantas coisas caras a mim, também agora escorre de meus olhos uma gota de lágrima.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0135	Já estava próximo o dia em que César me ordenara que eu fosse embora dos limites da extrema Ausônia.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0136	Nem o tempo nem a mente tinham sido suficientemente hábeis para me preparar: meu espírito tinha se entorpecido com a longa demora.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0137	Não tive preocupação com os escravos, nem de escolher um companheiro, nem com roupa ou com recursos apropriados para um exilado.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0138	Fiquei atordoado não diferentemente do que aquele que, ferido pelos raios de Júpiter, está vivo e não tem ele próprio consciência de sua vida.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0139	Quando, porém, a própria dor dissipou essa nuvem de meu espírito e finalmente minhas sensibilidades se restabeleceram, prestes a partir, falo pela última vez aos amigos tristes, os quais, dos até recentemente muitos, eram um ou outro.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0140	Minha afetuosa esposa, chorando ela própria muito pungentemente, abraçava a mim chorando, com uma chuva de lágrimas caindo sem cessar por suas faces que não mereciam.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0141	Minha filha estava ausente, longe, nas costas da Líbia, e não podia ser informada de meu destino.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0142	Para onde quer que olhasses, soavam lamentos e gemidos, e dentro de casa havia o aspecto de um não silencioso funeral.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0143	Mulher e homem e também os escravos choram por minha morte, e na casa todo canto tem lágrimas.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0144	Se é permitido usar de grandes exemplos nas pequena coisas, esta era a cara de Tróia, quando foi tomada.	José Dejalma Dezotti	TRUE
OviTrist-CLL-0145	E já se iam calando as vozes dos homens e do cães e a alta Lua conduzia seus cavalos noturnos.	José Dejalma Dezotti	TRUE
