sent_id	translation_JDD	DIFF
OviTrist-CLL-0014	uma causa não boa ficará pior com a defesa.	*
OviTrist-CLL-0015	encontrarás alguém, que lamente a minha perda, que leia estes poemas com as faces não enxutas, e calado, para que nenhum maldoso ouça, deseje consigo que, abrandado César, minha pena seja leve.	
OviTrist-CLL-0016	Eu também suplico que não seja infeliz aquele, seja quem for, que desejar que os deuses sejam benignos aos infelizes; que o que ele desejar se cumpra e aplacada a ira do príncipe, me conceda poder morrer nos lares pátrios.""""""	
OviTrist-CLL-0017	Para que cumpras essas ordens, ó livro, serás talvez criticado e considerado menor do que a glória de meu talento.	
OviTrist-CLL-0018	É dever do juiz verificar os fatos assim como as circunstâncias dos fatos;""""""	
OviTrist-CLL-0019	verificadas as circunstâncias, estarás seguro.	
OviTrist-CLL-0020	Os poemas provêm tirados de um espírito sereno:	
OviTrist-CLL-0021	minha existência está nublada por males inesperados.	*
OviTrist-CLL-0022	Os poemas requerem solidão e paz de quem os escreve; a mim me abate o mar, me abatem os ventos, me abate o feroz inverno.""""""	
OviTrist-CLL-0023	Aos poemas todo medo atrapalha:	
OviTrist-CLL-0024	eu, desesperado, acho que logo-logo uma espada será fixada em minha garganta.	
OviTrist-CLL-0025	Um juiz imparcial vai admirar também isto que faço e lerá com benevolência meus escritos, quaisquer que sejam.	
OviTrist-CLL-0026	Dá-me o Meônida e põe a sua volta tantas desventuras: todo o seu talento sucumbirá diante de tantos males.	
OviTrist-CLL-0027	Enfim, indiferente ao que dirão, ó livro, lembra-te de ir e, lido, não te envergonhes de ter desagradado.	
OviTrist-CLL-0028	A Fortuna não se apresenta tão propícia a nós que devas levar em conta a razão de teu louvor.	
OviTrist-CLL-0029	Enquanto estava a salvo, eu era tocado pelo amor da glória e havia para mim o ardor de buscar o bom nome;""""""	
OviTrist-CLL-0030	agora já é suficiente se eu não odeio a poesia e esse gosto, que me prejudicou;""""""	
OviTrist-CLL-0031	o desterro foi gerado pelo meu talento.	
OviTrist-CLL-0032	Contudo, vai tu em meu lugar, tu, a quem é permitido, contempla Roma; fizessem os deuses, eu pudesse agora ser o meu livro!""""""	
OviTrist-CLL-0033	E não penses que podes chegar desconhecido pelo povo, só porque chegas como estrangeiro à grande cidade.	
OviTrist-CLL-0034	Ainda que não tenhas título, serás reconhecido por tua própria cor; por mais que queiras dissimular, é evidente que tu és meu.""""""	
OviTrist-CLL-0035	Entra, contudo, escondido, para que meus poemas não te prejudiquem; não são como eram os de outrora cheios de simpatia.""""""	
OviTrist-CLL-0036	Se houver alguém que, porque és meu, julgue que não deves ser lido e te repila de seu regaço, diz: “olha meu título: não sou um mestre do amor; aquela obra já pagou as penas que mereceu.”""""""	*
OviTrist-CLL-0037	Talvez esperes que por acaso eu te ordene que subas, enviado ao alto Palatino e à mansão de César.	
OviTrist-CLL-0038	Que me perdoem esses augustos lugares e os deuses de tais lugares.	
OviTrist-CLL-0039	Veio daquela cidadela o raio nesta cabeça.	
OviTrist-CLL-0040	Sem dúvida eu lembro que divindades muito clementes existem naquelas sedes, mas temo os deuses que fizeram mal.	
OviTrist-CLL-0041	Com o menor rumor de tuas asas, gavião, a pomba ferida por tuas garras fica aterrorizada.	
OviTrist-CLL-0042	E se alguma ovelha foi arrebatada dos dentes de um lobo faminto, ela não ousa afastar-se para longe dos apriscos.	
OviTrist-CLL-0043	Faetonte evitaria o céu, se estivesse vivo, e não iria querer conduzir os cavalos que tolamente tinha desejado.	
OviTrist-CLL-0044	Eu também confesso que temo as armas de Júpiter, que já senti: quando troveja, penso que estou sendo atingido por seu fogo hostil.	
OviTrist-CLL-0045	Qualquer um da esquadra grega que escapou do [promontório] Cafareu desvia sempre as velas das águas da Eubéia;""""""	
OviTrist-CLL-0046	e a minha barquinha, batida uma vez por forte tempestade tem pavor de ir àquele lugar em que foi avariada.	
OviTrist-CLL-0047	Portanto, cuidado, livro, e, com a mente tímida, tem cautela, de modo que seja suficiente para ti ser lido pela plebe mediana.	
OviTrist-CLL-0048	Quando Ícaro se dirigiu com suas débeis asas para as imensas alturas, deu seu nome às águas do mar.	
OviTrist-CLL-0049	É difícil, contudo, dizer se deves usar daqui remos ou vento; a ocasião e o lugar te darão o conselho.""""""	
OviTrist-CLL-0050	Se puderes ser apresentado num momento de folga, se vires tudo calmo, se a ira tiver quebrado suas próprias forças;""""""	
OviTrist-CLL-0051	se houver alguém que, estando tu hesitante e temeroso de se aproximar, te apresenta e, no entanto, fala antes umas poucas coisas, vai.	
OviTrist-CLL-0052	Em um bom dia e tu próprio mais feliz do que teu dono, que chegues lá e alivies os nosso infortúnios.	
OviTrist-CLL-0053	Pois ou ninguém ou só quem causou meus ferimentos pode, à maneira de Aquiles, tirá-los.	
OviTrist-CLL-0054	Toma cuidado somente para não me prejudicares, enquanto queres ser útil; pois nossa esperança é menor do que o temor de meu espírito;""""""	*
OviTrist-CLL-0055	E cuidado para que a ira, que estava adormecida, atiçada não recrudesça e tu sejas outro motivo de castigo!	
OviTrist-CLL-0056	Quando, contudo, fores recebido em nosso lar e encontrares na estante curva a tua morada, verás ali postos em ordem os teus irmãos, que um mesmo zelo dedicou a todos suas vigílias.	
OviTrist-CLL-0057	O conjunto restante mostrará às claras seus títulos descobertos e trará no frontispício seus nomes manifestos; verás três que se escondem longe numa parte escura:""""""	
OviTrist-CLL-0058	estes, o que ninguém ignora, também ensinam a amar;""""""	*
OviTrist-CLL-0059	A estes, ou evita-os, ou, se tiveres suficiente descaramento, dá-lhes as denominações de Édipo e Telégono.	
OviTrist-CLL-0060	E dos três, te aconselho a que, se tens alguma preocupação com teu pai, não ames a nenhum, mesmo que ele próprio te ensinar.	*
OviTrist-CLL-0061	Há também três vezes cinco volumes de Metamorfose, poemas há pouco arrebatados de meus funerais.	
OviTrist-CLL-0062	Encarrego-te de dizeres a estes que pode ser incluído entre os corpos transformados o rosto de minha fortuna, pois essa se tornou subitamente diferente da anterior, e é lamentável agora, foi feliz em algum tempo.	
OviTrist-CLL-0063	Por certo, mais coisas eu tinha para encarregar-te, se queres saber, mas receio ter sido a causa de tua demorada viagem; e se levares contigo, livro, tudo o que me vem à mente, vais ser um grande fardo para quem for te levar.""""""	
OviTrist-CLL-0064	O caminho é longo, apressa-te!	
OviTrist-CLL-0065	Será habitado por mim o último confim do mundo, uma terra muito longe de minha terra.	
OviTrist-CLL-0066	Ó deuses do mar e do céu	
OviTrist-CLL-0067	(pois o que resta senão as súplicas),	
OviTrist-CLL-0068	abstende-vos de despedaçar as partes desta maltratada barca e não vos associeis, vos imploro, à ira do grande César:	
OviTrist-CLL-0069	muitas vezes um outro deus leva socorro a quem um deus persegue.	
OviTrist-CLL-0070	Mulcíbero estava contra Troia, Apolo, a favor de Troia;""""""	
OviTrist-CLL-0071	Vênus foi favorável aos teucros, Palas, hostil.	
OviTrist-CLL-0072	Satúrnia [Juno], mais propícia a Turno, odiava Eneias;""""""	
OviTrist-CLL-0073	este, porém, era protegido pela divindade de Vênus.	
OviTrist-CLL-0074	Muitas vezes o feroz Netuno atacou o cauteloso Ulisses;""""""	
OviTrist-CLL-0075	Minerva, muitas vezes, arrebatou-o de seu tio paterno.	
OviTrist-CLL-0076	E, embora eu esteja distante deles, o que impede que alguma divindade me socorra contra um deus encolerizado?	
OviTrist-CLL-0077	Infeliz, eu perco em vão palavras que são inúteis.	
OviTrist-CLL-0078	Pesadas ondas inundam a minha própria boca enquanto falo e o terrível Noto dispersa as minhas falas e não deixa que minhas preces cheguem aos deuses, aos quais são dirigidas.	
OviTrist-CLL-0079	Então os mesmos ventos, para que eu não seja ferido por um só motivo, levam não sei para onde as nossas velas e súplicas.	
OviTrist-CLL-0080	Desgraçado de mim, quão grandes montanhas de água se lançam em torno de mim!	
OviTrist-CLL-0081	Pensarias que já-já atingirão os elevados astros.	
OviTrist-CLL-0082	Quão grandes vales se abrem com as ondas fendidas!	
OviTrist-CLL-0083	Pensarias que já-já atingirão o negro Tártaro.	
OviTrist-CLL-0084	Para onde quer que eu olho, não há nada, a não ser mar e céu; um intumescido pelas ondas, o outro, ameaçador com suas nuvens.""""""	
OviTrist-CLL-0085	Entre ambos, rugem os ventos com espantoso zumbido.	
OviTrist-CLL-0086	A onda do mar não sabe a que senhor obedecer.	
OviTrist-CLL-0087	Pois ora o Euro toma forças do purpúreo levante, ora chega o Zéfiro enviado do tardio ocidente, ora o gélido Bóreas se enfurece desde o árido norte, ora o Noto faz guerra do lado oposto.	
OviTrist-CLL-0088	O piloto está em dúvida e não encontra o que evitar ou buscar:	
OviTrist-CLL-0089	sua própria perícia fica entorpecida diante dos incertos perigos.	
OviTrist-CLL-0090	Evidentemente perecemos e não há nenhuma esperança de salvação; e enquanto falo, a onda cobre o meu rosto.""""""	
OviTrist-CLL-0091	A água vai impedir minha respiração e, em minha boca que suplica em vão, vou receber as águas assassinas.	
OviTrist-CLL-0092	Mas minha virtuosa esposa não sofre por nenhuma outra coisa além de meu exílio:	
OviTrist-CLL-0093	este é o meu único infortúnio que ela sabe e chora.	
OviTrist-CLL-0094	Ela não sabe que meu corpo é sacudido no imenso mar, não sabe que sou batido pelo vento, não sabe que a morte está a meu lado.	
OviTrist-CLL-0095	Ó felicidade por eu não ter consentido que ela embarcasse comigo, para que o desgraçado de mim não tivesse que sofrer a morte duas vezes!	
OviTrist-CLL-0096	Mas agora, ainda que eu morra, visto que ela está livre do perigo, sobreviverei ao menos em minha outra metade.	
OviTrist-CLL-0097	Ai de mim, como as nuvens brilharam com uma rápida chama!	
OviTrist-CLL-0098	Que grande estrondo retumba do etéreo zênite!	
OviTrist-CLL-0099	As tábuas dos costados não são golpeados pelas ondas com menos violência do que bate as muralhas o enorme peso da balista.	
OviTrist-CLL-0100	Esta onda que chega sobrepuja todas as ondas:	
OviTrist-CLL-0101	é posterior à nona, é anterior à undécima.	
OviTrist-CLL-0102	Não temo a morte;""""""	
OviTrist-CLL-0103	mas é miserável esse tipo de morte; tira o naufrágio, a morte será um presente para mim.""""""	
OviTrist-CLL-0104	É alguma coisa que quem sucumbe pelo destino ou pela espada deponha seu corpo morrente em terra firme e fazer aos seus algumas recomendações e esperar uma sepultura e não ser alimento para os peixes do mar.	
OviTrist-CLL-0105	Imaginai que sou digno de tal morte; não sou o único que é levado aqui.""""""	
OviTrist-CLL-0106	Por que meu castigo arrasta os que não a merecem?	
OviTrist-CLL-0107	Oh deuses do alto e deuses verdes, que tendes o governo dos mares, cessai já vós de ambos os lados as vossas ameaças;""""""	
OviTrist-CLL-0108	e a vida que me concedeu a suavíssima cólera de César, deixai que eu a leve, infeliz de mim, para os lugares ordenados.	
OviTrist-CLL-0109	Se também quereis que eu pague a pena que mereci, minha culpa, sendo ele próprio juiz, é menor que a morte.	
OviTrist-CLL-0110	Se César já tivesse querido enviar-me para as águas do Estige, não teria tido necessidade de vossa ajuda para isso.	
OviTrist-CLL-0111	Ele tem o poder não odioso de nosso sangue;""""""	
OviTrist-CLL-0112	e o que deu, quando quiser, ele próprio tirará.	
OviTrist-CLL-0113	Vós, ao menos, que, penso eu, certamente não ultrajei com nenhuma ofensa, contentai-vos, eu suplico, já com os meus infortúnios.	
OviTrist-CLL-0114	E, no entanto, mesmo que todos vós queirais salvar este infeliz, um ser que sucumbiu já não pode ser salvo.	
OviTrist-CLL-0115	Mesmo que o mar se acalme e eu desfrute de ventos favoráveis, mesmo que vós me poupeis, não vou ser menos exilado	
OviTrist-CLL-0116	Não é ávido de adquirir riquezas sem fim, permutando mercadorias, que eu sulco o vasto mar; nem me dirijo a Atenas, a que outrora me dirigi com desejos de estudar, nem às cidades da Ásia, nem a lugares já vistos antes;""""""	
OviTrist-CLL-0117	nem, levado para a ilustre cidade de Alexandre, para ver tuas delícias, festivo Nilo.	
OviTrist-CLL-0118	Se desejo ventos propícios (quem poderia acreditar?) é a terra da Sarmácia, que minhas velas buscam,	
OviTrist-CLL-0119	Sou obrigado a atingir o inóspito litoral do lado esquerdo do Ponto;""""""	
OviTrist-CLL-0120	e me queixo porque é tão lenta a fuga da pátria.	
OviTrist-CLL-0121	Para ver os tomitas situados em não sei em que lugar do mundo, busco um caminho curto através de meus votos.	
OviTrist-CLL-0122	Se me estimais, acalmai essas ondas tão enormes e que a vossa divindade seja benévola ao nosso barco; se muito me odiais, dirigi-me para a terra ordenada:""""""	
OviTrist-CLL-0123	parte do meu suplício está nessa região.	
OviTrist-CLL-0124	Levai minhas velas, rápidos ventos! (O que faço aqui?)	
OviTrist-CLL-0125	Por que minhas velas querem os limites ausônios?	
OviTrist-CLL-0126	César não quis isto: por que detendes quem ele envia ao desterro?	
OviTrist-CLL-0127	Que a terra do Ponto contemple meu rosto.	
OviTrist-CLL-0128	E ele ordena e eu mereci; e não acho lícito e justo que sejam defendidos os delitos que ele tenha condenado.""""""	
OviTrist-CLL-0129	Se, no entanto, os atos dos mortais nunca enganam os deuses, sabeis que a maldade está longe de minha culpa.	
OviTrist-CLL-0130	E mais, se assim sabeis, se o meu erro me alienou e minha mente foi tola, não perversa, se, o que é permitido até para os mais humildes, favorecemos àquela casa, se as ordens públicas de Augusto foram suficientes para mim, se, sendo ele imperador, eu disse que os séculos seriam prósperos e, ofertei incensos em honra de César e dos piedosos Césares, se o meu ânimo foi este , então poupai-me, ó deuses!	*
OviTrist-CLL-0131	Se não, que uma alta onda, caindo sobre mim, cubra minha cabeça!	
OviTrist-CLL-0132	Estou enganado ou as pesadas nuvens começam a dissipar-se, e, vencida, a fúria do mar mudado se abranda?	
OviTrist-CLL-0133	Não é por acaso, sois vós, invocados mas sob condição, aos quais não há como enganar, que me trazeis este socorro.	
OviTrist-CLL-0134	Quando me vem à mente a tristíssima imagem daquela noite, que para mim foi o último momento na cidade, quando recordo a noite em que deixei tantas coisas caras a mim, também agora escorre de meus olhos uma gota de lágrima.	
OviTrist-CLL-0135	Já estava próximo o dia em que César me ordenara que eu fosse embora dos limites da extrema Ausônia.	
OviTrist-CLL-0136	Nem o tempo nem a mente tinham sido suficientemente hábeis para me preparar: meu espírito tinha se entorpecido com a longa demora.	
OviTrist-CLL-0137	Não tive preocupação com os escravos, nem de escolher um companheiro, nem com roupa ou com recursos apropriados para um exilado.	
OviTrist-CLL-0138	Fiquei atordoado não diferentemente do que aquele que, ferido pelos raios de Júpiter, está vivo e não tem ele próprio consciência de sua vida.	
OviTrist-CLL-0139	Quando, porém, a própria dor dissipou essa nuvem de meu espírito e finalmente minhas sensibilidades se restabeleceram, prestes a partir, falo pela última vez aos amigos tristes, os quais, dos até recentemente muitos, eram um ou outro.	
OviTrist-CLL-0140	Minha afetuosa esposa, chorando ela própria muito pungentemente, abraçava a mim chorando, com uma chuva de lágrimas caindo sem cessar por suas faces que não mereciam.	
OviTrist-CLL-0141	Minha filha estava ausente, longe, nas costas da Líbia, e não podia ser informada de meu destino.	
OviTrist-CLL-0142	Para onde quer que olhasses, soavam lamentos e gemidos, e dentro de casa havia o aspecto de um não silencioso funeral.	
OviTrist-CLL-0143	Mulher e homem e também os escravos choram por minha morte, e na casa todo canto tem lágrimas.	
OviTrist-CLL-0144	Se é permitido usar de grandes exemplos nas pequena coisas, esta era a cara de Tróia, quando foi tomada.	
OviTrist-CLL-0145	E já se iam calando as vozes dos homens e do cães e a alta Lua conduzia seus cavalos noturnos.	
OviTrist-CLL-0146	Eu, olhando-a e distinguindo junto dela o Capitólio, que inutilmente estava próximo ao nosso lar, digo “ Divindades que habitam estas moradas vizinhas, templos que nunca mais devem ser vistos pelos meus olhos, deuses que devo deixar e que a elevada cidade de Quirino tem, sede saudados por mim para todo o sempre.	
OviTrist-CLL-0147	E embora tome tardiamente o escudo após os ferimentos, ao menos livrai este exílio da carga do ódio e ao varão celestial dizei que erro me enganou, que ele não julgue ser crime em vez de um equívoco.	
OviTrist-CLL-0148	Para que o autor de minha pena perceba também o que vós sabeis:	
OviTrist-CLL-0149	aplacado esse deus, eu posso não ser um infeliz.”	
OviTrist-CLL-0150	Com esta suplica, eu me dirigi aos deuses, minha esposa com muitas mais, com o soluço atrapalhando os sons entrecortados.	
OviTrist-CLL-0151	Ela também, prostrada diante dos Lares, com seus cabelos desgrenhados, tocou com a boca trêmula o fogo apagado e aos Penates que estavam em frente, derramou muitas palavras, que nada valeriam, em favor de seu chorado esposo.	
OviTrist-CLL-0152	Já a noite adiantada não dava espaço para demora e a Ursa Parrásia [Ursa Maior] já tinha desviado de seu eixo.	
OviTrist-CLL-0153	O que havia eu de fazer?	
OviTrist-CLL-0154	Eu era retido pelo doce amor da pátria, mas aquela era a última noite de minha partida ordenada.	
OviTrist-CLL-0155	Ah, quantas vezes eu disse a alguém se apressando “Por que corres?	
OviTrist-CLL-0156	Olha para onde te apressas ir ou de onde”.	
OviTrist-CLL-0157	Ah, quantas vezes menti que tinha uma hora determinada, que seria apropriada para a viagem proposta.	
OviTrist-CLL-0158	Três vezes toquei o limiar, três vezes recuei de volta, e o meu próprio pé complacente com meu espírito era lento para mim.	
OviTrist-CLL-0159	Muitas vezes, depois de ter dito “adeus”, falei de novo muitas coisas e como que retirando-me dei os últimos beijos.	
OviTrist-CLL-0160	Muitas vezes dei as mesmas ordens e eu próprio me enganei, tornando a olhar com meus próprios olhos os entes queridos.	
OviTrist-CLL-0161	Por fim, digo “Por que me apresso?	
OviTrist-CLL-0162	Existe a Cítia, para onde sou mandado, Roma tem de ser deixada, ambas tornam justa minha demora.	
OviTrist-CLL-0163	Estando ainda viva, minha esposa me é negada para sempre, estando eu ainda vivo, e a minha casa e os doces membros dessa casa leal, e os companheiro que amei como irmãos, ó corações ligados a mim com a fidelidade de Teseu!	
OviTrist-CLL-0164	Enquanto é permitido, vou abraçá-los:	
OviTrist-CLL-0165	talvez nunca mais será permitido;""""""	
OviTrist-CLL-0166	por favor é a hora que me é dada.	
OviTrist-CLL-0167	Sem demora, deixo inacabadas as palavras de minha conversa, abraçando os que estão mais próximo do meu coração.	
OviTrist-CLL-0168	Enquanto falava e chorávamos, tinha surgido no alto céu Lúcifer, a reluzente estrela funesta para mim.	
OviTrist-CLL-0169	Sou dividido não diferentemente do que se eu abandonasse meus membros e uma parte pareceu ser arrancada de seu corpo.	
OviTrist-CLL-0170	Assim sofreu Meto quando teve seus cavalos voltados na direção contrária como vingadores de sua traição.	
OviTrist-CLL-0171	Então o clamor e os gemidos dos meus explodem e as mãos aflitas ferem os peitos nus.	
OviTrist-CLL-0172	Então a esposa, agarrando-se aos ombros do que partia, misturou com minhas lágrimas estas tristes palavras: “Não podes ser arrancado de mim: ah!	*
OviTrist-CLL-0173	iremos juntos”, diz, “vou te seguir e serei a esposa exilada de um exilado.	
OviTrist-CLL-0174	Também para mim este caminho foi preparado, também a mim a mais longínqua terra me recebe:	
OviTrist-CLL-0175	me juntarei como uma pequena carga ao teu barco de prófugo.	
OviTrist-CLL-0176	A ti é a ira de César que te ordena a ir embora da pátria, a mim é o amor conjugal:	
OviTrist-CLL-0177	este amor será o César para mim.”	
OviTrist-CLL-0178	Tais coisas ela tentava conseguir, como já tinha tentado antes, e a duras penas se deu por vencida ante o nosso interesse.	
OviTrist-CLL-0179	Saio (ou aquilo era ser levado ao túmulo sem funeral), esquálido, com os cabelos caídos pelo rosto peludo.	
OviTrist-CLL-0180	Conta-se que ela, enlouquecida pela dor, com a vista escurecida, caiu desmaiada no meio da casa e quando voltou a si, com os cabelos maculados pela suja poeira, e levantou seus membros do gelado chão, ora chorava os Penates abandonados, ora chamava muitas vezes o nome do marido que lhe foi arrebatado, e não gemeu menos do que se tivesse visto as piras preparadas para ter o meu corpo e o de nossa filha, e quis morrer, perder os sentidos, morrendo, no entanto não pôde em consideração a mim.	*
OviTrist-CLL-0181	Que ela viva, e, já que os fados assim determinaram, viva para me aliviar com sua ajuda em minha ausência.	
OviTrist-CLL-0182	O guardião da Ursa de Erimanto se banha no oceano e agita com sua influência as água do mar.	
OviTrist-CLL-0183	Nós, entretanto, sulcamos o mar Jônio não por nossa livre vontade, mas somos obrigados a ser audazes devido ao medo.	
OviTrist-CLL-0184	Desgraçado de mim! Com que enormes ventos encapelam-se os mares e a areia arrancada do fundo do abismo ferve!	
OviTrist-CLL-0185	Uma onda não menor do que um monte salta à proa e à popa recurva e fustiga os deuses pintados nela.	
OviTrist-CLL-0186	As tábuas de pinho estalam com o golpe, as cordas com estrídulo e o própria carena geme com nossos infortúnios.	*
OviTrist-CLL-0187	O piloto, confessando pânico em sua gelada palidez, segue vencido, já não governa com habilidade o barco.	
OviTrist-CLL-0188	E como um cocheiro pouco vigoroso solta as rédeas que já não servem para nada ao cavalo de pescoço duro, assim também eu vejo que o nosso cocheiro soltou as velas do barco, não para onde ele quis, mas para onde o impulso da onda o arrasta.	
OviTrist-CLL-0189	E se Eolo não mandar ventos contrários, serei levado agora para lugares que não devemos atingir.	
OviTrist-CLL-0190	Pois deixada longe do lado esquerdo a Ilíria, a vedada Itália é avistada por mim.	
OviTrist-CLL-0191	Que o vento deixe de me empurrar para terras interditas, eu suplico, e que obedeça comigo ao grande deus.	
