sentence_id	sentence	text_JDD	translation_JDD	norm_sentence	norm_text	isSameText
12697	Salathihel autem genuit Zorobabel	Salathihel autem genuit Zorobabel;	Salatiel, por sua vez, gerou Zorobabel;	salathihel autem genuit zorobabel	salathihel autem genuit zorobabel	TRUE
12698	Zorobabel autem genuit Abiud	13 Zorobabel autem genuit Abiud;	13 Zorobabel, por sua vez, gerou Abiud;	zorobabel autem genuit abiud	zorobabel autem genuit abiud	TRUE
12699	Abiud autem genuit Eliachim	Abiud autem genuit Eliachim;	Abiud, por sua vez, gerou Eliaquim;	abiud autem genuit eliachim	abiud autem genuit eliachim	TRUE
12700	Eliachim autem genuit Azor	Eliachim autem genuit Azor;	Eliaquim, por sua vez, gerou Azor;	eliachim autem genuit azor	eliachim autem genuit azor	TRUE
12701	Azor autem genuit Saddoc	14 Azor autem genuit Saddoc;	14 Azor, por sua vez, gerou Sadoc;	azor autem genuit saddoc	azor autem genuit saddoc	TRUE
12702	Saddoc autem genuit Achim	Saddoc autem genuit Achim;	Sadoc, por sua vez, gerou Aquim;	saddoc autem genuit achim	saddoc autem genuit achim	TRUE
12703	Achim autem genuit Eliud	Achim autem genuit Eliud;	Aquim, por sua vez, gerou Eliud;	achim autem genuit eliud	achim autem genuit eliud	TRUE
12704	Eliud autem genuit Eleazar	15 Eliud autem genuit Eleazar;	15 Eliud, por sua vez, gerou Eleazar;	eliud autem genuit eleazar	eliud autem genuit eleazar	TRUE
12705	Eleazar autem genuit Matthan	Eleazar autem genuit Matthan;	Eleazar, por sua vez, gerou Matã;	eleazar autem genuit matthan	eleazar autem genuit matthan	TRUE
12706	Matthan autem genuit Iacob	Matthan autem genuit Iacob;	Matã, por sua vez, gerou Jacó;	matthan autem genuit iacob	matthan autem genuit iacob	TRUE
12707	Iacob autem genuit Ioseph virum Mariae de qua natus est Iesus qui vocatur Christus	16 Iacob autem genuit Ioseph, uirum Mariae, de qua natus est Iesus qui uocatur Christus.	16 Jacó, por sua vez, gerou José, marido de Maria, da qual nasceu Jesus, que é chamado Cristo.	iacob autem genuit ioseph uirum mariae de qua natus est iesus qui uocatur christus	iacob autem genuit ioseph uirum mariae de qua natus est iesus qui uocatur christus	TRUE
12708	omnes ergo generationes ab Abraham usque ad David generationes quattuordecim	17 Omnes ergo generationes ab Abraham usque ad Dauid generationes quattuordecim;	17 Portanto, todas as gerações de Abraão até Davi são catorze gerações;	omnes ergo generationes ab abraham usque ad dauid generationes quattuordecim	omnes ergo generationes ab abraham usque ad dauid generationes quattuordecim	TRUE
12709	et a David usque ad transmigrationem Babylonis generationes quattuordecim	et a Dauid usque ad transmigrationem Babylonis generationes quattuordecim;	e de Davi até o exílio para a Babilônia, catorze gerações;	et a dauid usque ad transmigrationem babylonis generationes quattuordecim	et a dauid usque ad transmigrationem babylonis generationes quattuordecim	TRUE
12710	et a transmigratione Babylonis usque ad Christum generationes quattuordecim	et a transmigratione Babylonis usque ad Christum generationes quattuordecim.	e do exílio para a Babilônia até Cristo, catorze gerações.	et a transmigratione babylonis usque ad christum generationes quattuordecim	et a transmigratione babylonis usque ad christum generationes quattuordecim	TRUE
12711	Christi autem generatio sic erat	18 Christi autem generatio sic erat:	18 Assim foi, por sua vez, o nascimento de Cristo:	christi autem generatio sic erat	christi autem generatio sic erat	TRUE
12712	cum esset desponsata mater eius Maria Ioseph antequam convenirent inventa est in utero habens de Spiritu Sancto	cum esset desponsata mater eius Maria Ioseph, antequam conuenirent inuenta est in utero habens de Spiritu Sancto.	estando Maria, sua mãe, prometida em casamento a José, antes de terem consumado a união, ela foi descoberta tendo ficado grávida por obra do Espírito Santo.	cum esset desponsata mater eius maria ioseph antequam conuenirent inuenta est in utero habens de spiritu sancto	cum esset desponsata mater eius maria ioseph antequam conuenirent inuenta est in utero habens de spiritu sancto	TRUE
12713	Ioseph autem vir eius cum esset iustus et nollet eam traducere voluit occulte dimittere eam	19 Ioseph autem uir eius cum esset iustus et nollet eam traducere uoluit occulte dimittere eam.	19 Como José, seu marido, era justo e não queria expô-la publicamente, quis mandá-la embora secretamente.	ioseph autem uir eius cum esset iustus et nollet eam traducere uoluit occulte dimittere eam	ioseph autem uir eius cum esset iustus et nollet eam traducere uoluit occulte dimittere eam	TRUE
12714	haec autem eo cogitante ecce angelus Domini in somnis apparuit ei dicens	20 Haec autem eo cogitante ecce angelus Domini in somnis apparuit ei dicens:	20 Porém, enquanto ele cogitava essas coisas, eis que lhe apareceu em sonho um anjo do Senhor, dizendo:	haec autem eo cogitante ecce angelus domini in somnis apparuit ei dicens	haec autem eo cogitante ecce angelus domini in somnis apparuit ei dicens	TRUE
12715	Ioseph fili David noli timere accipere Mariam coniugem tuam	Ioseph, fili Dauid, noli timere accipere Mariam coniugem tuam 	José, filho de Davi, não temas receber Maria como tua esposa, 	ioseph fili dauid noli timere accipere mariam coniugem tuam	ioseph fili dauid noli timere accipere mariam coniugem tuam	TRUE
12716	quod enim in ea natum est de Spiritu Sancto est	quod enim in ea natum est de Spiritu Sancto est.	pois o que nela foi concebido provém do Espírito Santo.	quod enim in ea natum est de spiritu sancto est	quod enim in ea natum est de spiritu sancto est	TRUE
12717	pariet autem filium	21 Pariet autem filium 	21 Dará à luz um filho 	pariet autem filium	pariet autem filium	TRUE
12718	et vocabis nomen eius Iesum	et uocabis nomen eius Iesum;	e o chamarás pelo nome de Jesus;	et uocabis nomen eius iesum	et uocabis nomen eius iesum	TRUE
12719	ipse enim salvum faciet populum suum a peccatis eorum	ipse enim saluum faciet populum suum a peccatis eorum.	pois será ele que salvará seu povo de seus erros.	ipse enim saluum faciet populum suum a peccatis eorum	ipse enim saluum faciet populum suum a peccatis eorum	TRUE
12720	hoc autem totum factum est ut adimpleretur id quod dictum est a Domino per prophetam dicentem	22 Hoc autem totum factum est, ut adimpleretur id quod dictum est a Domino per prophetam dicentem:	22 Tudo isso aconteceu para que se cumprisse o que foi dito pelo Senhor através do profeta, que disse:	hoc autem totum factum est ut adimpleretur id quod dictum est a domino per prophetam dicentem	hoc autem totum factum est ut adimpleretur id quod dictum est a domino per prophetam dicentem	TRUE
12721	ecce virgo in utero habebit et pariet filium	23 Ecce uirgo in utero habebit et pariet filium 	23 Eis que uma virgem ficará grávida e dará à luz um filho 	ecce uirgo in utero habebit et pariet filium	ecce uirgo in utero habebit et pariet filium	TRUE
12722	et vocabunt nomen eius Emmanuhel quod est interpretatum Nobis cum Deus	et uocabunt nomen eius Emmanuhel quod est interpretatum Nobiscum Deus.	e o chamarão pelo nome de Emanuel, que significa Deus Conosco.	et uocabunt nomen eius emmanuhel quod est interpretatum nobis cum deus	et uocabunt nomen eius emmanuhel quod est interpretatum nobiscum deus	FALSE
12723	exsurgens autem Ioseph a somno fecit sicut praecepit ei angelus Domini et accepit coniugem suam	24 Exsurgens autem Ioseph a somno, fecit sicut praecepit ei angelus Domini et accepit coniugem suam.	24 José, acordando do sono, fez como o anjo do Senhor ordenou e aceitou sua esposa.	exsurgens autem ioseph a somno fecit sicut praecepit ei angelus domini et accepit coniugem suam	exsurgens autem ioseph a somno fecit sicut praecepit ei angelus domini et accepit coniugem suam	TRUE
12724	et non cognoscebat eam donec peperit filium suum primogenitum	25 Et non cognoscebat eam donec peperit filium suum primogenitum;	25 E não a conheceu até ter dado à luz seu filho primogênito;	et non cognoscebat eam donec peperit filium suum primogenitum	et non cognoscebat eam donec peperit filium suum primogenitum	TRUE
12725	et vocavit nomen eius Iesum	et uocauit nomen eius Iesum.	e chamou-o pelo nome de Jesus.	et uocauit nomen eius iesum	et uocauit nomen eius iesum	TRUE
12726	cum ergo natus esset Iesus in Bethleem Iudaeae in diebus Herodis regis ecce magi ab oriente venerunt Hierosolymam dicentes	2 1 Cum ergo natus esset Iesus in Bethleem Iudaeae in diebus Herodis regis, ecce magi ab oriente uenerunt Hierosolymam, 2 dicentes:	2 1 Tendo Jesus nascido em Belém, na Judeia, nos tempos do rei Herodes, eis que magos do oriente vieram a Jerusalém, 2 dizendo:	cum ergo natus esset iesus in bethleem iudaeae in diebus herodis regis ecce magi ab oriente uenerunt hierosolymam dicentes	cum ergo natus esset iesus in bethleem iudaeae in diebus herodis regis ecce magi ab oriente uenerunt hierosolymam dicentes	TRUE
12727	ubi est qui natus est rex Iudaeorum	“Vbi est qui natus est rex Iudaeorum?	“Onde está aquele que nasceu rei dos judeus?	ubi est qui natus est rex iudaeorum	ubi est qui natus est rex iudaeorum	TRUE
12728	vidimus enim stellam eius in oriente et venimus adorare eum	Vidimus enim stellam eius in oriente et uenimus adorare eum.	Pois vimos sua estrela no oriente e viemos adorá-lo.	uidimus enim stellam eius in oriente et uenimus adorare eum	uidimus enim stellam eius in oriente et uenimus adorare eum	TRUE
12729	audiens autem Herodes rex turbatus est et omnis Hierosolyma cum illo	3 Audiens autem Herodes rex turbatus est et omnis Hierosolyma cum illo.	3 Ouvindo isso, o rei Herodes ficou perturbado e, com ele, toda a Jerusalém.	audiens autem herodes rex turbatus est et omnis hierosolyma cum illo	audiens autem herodes rex turbatus est et omnis hierosolyma cum illo	TRUE
12730	et congregans omnes principes sacerdotum et scribas populi sciscitabatur ab eis ubi Christus nasceretur	4 Et congregans omnes principes sacerdotum et scribas populi sciscitabatur ab eis ubi Christus nasceretur.	4 E reunindo todos os chefes dos sacerdotes e os escribas do povo, queria saber deles onde Cristo nasceria.	et congregans omnes principes sacerdotum et scribas populi sciscitabatur ab eis ubi christus nasceretur	et congregans omnes principes sacerdotum et scribas populi sciscitabatur ab eis ubi christus nasceretur	TRUE
12731	at illi dixerunt ei	5 At illi dixerunt ei:	5 E eles lhe disseram:	at illi dixerunt ei	at illi dixerunt ei	TRUE
12732	in Bethleem Iudaeae	“In Bethleem Iudaeae;	“Em Belém, na Judéia;	in bethleem iudaeae	in bethleem iudaeae	TRUE
12733	sic enim scriptum est per prophetam	sic enim scriptum est per prophetam:	pois assim está escrito por intermédio do profeta:	sic enim scriptum est per prophetam	sic enim scriptum est per prophetam	TRUE
12734	et tu Bethleem terra Iuda nequaquam minima es in principibus Iuda	6 ‘Et tu, Bethleem, terra Iuda, nequaquam minima es in principibus Iuda, 	6 ‘E tu, Belém, terra de Judá, de modo algum és a menor entre as principais cidades de Judá, 	et tu bethleem terra iuda nequaquam minima es in principibus iuda	et tu bethleem terra iuda nequaquam minima es in principibus iuda	TRUE
12735	ex te enim exiet dux qui reget populum meum Israhel	ex te enim exiet dux qui reget populum meum Israhel.’	pois de ti sairá um líder que guiará meu povo de Israel.’	ex te enim exiet dux qui reget populum meum israhel	ex te enim exiet dux qui reget populum meum israhel	TRUE
12736	tunc Herodes clam vocatis magis diligenter didicit ab eis tempus stellae quae apparuit eis	” 7 Tunc Herodes clam uocatis magis diligenter didicit ab eis tempus stellae quae apparuit eis.	” 7 Então Herodes, tendo chamado secretamente os magos, certificou-se com eles o momento exato da estrela que lhes apareceu.	tunc herodes clam uocatis magis diligenter didicit ab eis tempus stellae quae apparuit eis	tunc herodes clam uocatis magis diligenter didicit ab eis tempus stellae quae apparuit eis	TRUE
12737	et mittens illos in Bethleem dixit	8 Et, mittens illos in Bethleem, dixit:	8 E, enviando-os para Belém, disse:	et mittens illos in bethleem dixit	et mittens illos in bethleem dixit	TRUE
12738	ite et interrogate diligenter de puero	“Ite et interrogate diligenter de puero 	“Ide e perguntai diligentemente a respeito do menino 	ite et interrogate diligenter de puero	ite et interrogate diligenter de puero	TRUE
12739	et cum inveneritis renuntiate mihi ut et ego veniens adorem eum	et cum inueneritis renuntiate mihi ut et ego ueniens adorem eum.	e quando o encontrardes, trazei-me a informação para que eu também, ao chegar lá, o adore.	et cum inueneritis renuntiate mihi ut et ego ueniens adorem eum	et cum inueneritis renuntiate mihi ut et ego ueniens adorem eum	TRUE
12740	qui cum audissent regem abierunt et ecce stella quam viderant in oriente antecedebat eos usque dum veniens staret supra ubi erat puer	9 Qui cum audissent regem abierunt et ecce stella quam uiderant in oriente antecedebat eos usque dum ueniens staret supra ubi erat puer.	9 Depois de terem ouvido o rei, foram embora e eis que a estrela, que tinham visto no oriente, ia diante deles até que, chegando, parou sobre o lugar onde estava o menino.	qui cum audissent regem abierunt et ecce stella quam uiderant in oriente antecedebat eos usque dum ueniens staret supra ubi erat puer	qui cum audissent regem abierunt et ecce stella quam uiderant in oriente antecedebat eos usque dum ueniens staret supra ubi erat puer	TRUE
12741	videntes autem stellam gavisi sunt gaudio magno valde	10 Videntes autem stellam gauisi sunt gaudio magno ualde.	10 Ao verem a estrela, sentiram uma alegria muito grande.	uidentes autem stellam gauisi sunt gaudio magno ualde	uidentes autem stellam gauisi sunt gaudio magno ualde	TRUE
12742	et intrantes domum invenerunt puerum cum Maria matre eius et procidentes adoraverunt eum	11 Et intrantes domum, inuenerunt puerum cum Maria matre eius et procidentes adorauerunt eum 	11 E ao entrarem na casa, encontraram o menino com Maria, sua mãe e, ajoelhando-se, o adoraram 	et intrantes domum inuenerunt puerum cum maria matre eius et procidentes adorauerunt eum	et intrantes domum inuenerunt puerum cum maria matre eius et procidentes adorauerunt eum	TRUE
12743	et apertis thesauris suis obtulerunt ei munera aurum tus et murram	et apertis thesauris suis obtulerunt ei munera: aurum tus et murram.	e, abertos suas caixas, ofereceram-lhe presentes: ouro, incenso e mirra.	et apertis thesauris suis obtulerunt ei munera aurum tus et murram	et apertis thesauris suis obtulerunt ei munera aurum tus et murram	TRUE
12744	et responso accepto in somnis ne redirent ad Herodem per aliam viam reversi sunt in regionem suam	12 Et responso accepto in somnis ne redirent ad Herodem, per aliam uiam reuersi sunt in regionem suam.	12 E recebida em sonho uma advertência para que não voltassem a Herodes, retornaram para sua região por um outro caminho.	et responso accepto in somnis ne redirent ad herodem per aliam uiam reuersi sunt in regionem suam	et responso accepto in somnis ne redirent ad herodem per aliam uiam reuersi sunt in regionem suam	TRUE
12745	qui cum recessissent ecce angelus Domini apparuit in somnis Ioseph dicens	13 Qui cum recessissent, ecce angelus Domini apparuit in somnis Ioseph dicens:	13 Depois que eles partiram, eis que o anjo do Senhor apareceu em sonho a José, dizendo:	qui cum recessissent ecce angelus domini apparuit in somnis ioseph dicens	qui cum recessissent ecce angelus domini apparuit in somnis ioseph dicens	TRUE
12746	surge et accipe puerum et matrem eius et fuge in Aegyptum et esto ibi usque dum dicam tibi	“Surge et accipe puerum et matrem eius et fuge in Aegyptum et esto ibi usque dum dicam tibi.	“Levanta e pega o menino e a mãe dele e foge para o Egito e fica lá até que eu te diga.	surge et accipe puerum et matrem eius et fuge in aegyptum et esto ibi usque dum dicam tibi	surge et accipe puerum et matrem eius et fuge in aegyptum et esto ibi usque dum dicam tibi	TRUE
12747	futurum est enim ut Herodes quaerat puerum ad perdendum eum	Futurum est enim ut Herodes quaerat puerum ad perdendum eum.	Pois Herodes vai procurar o menino para matá-lo.	futurum est enim ut herodes quaerat puerum ad perdendum eum	futurum est enim ut herodes quaerat puerum ad perdendum eum	TRUE
12748	qui consurgens accepit puerum et matrem eius nocte et recessit in Aegyptum	14 Qui consurgens accepit puerum et matrem eius nocte et secessit in Aegyptum;	14 Levantando-se, ele pegou o menino e a mãe dele e partiu de noite para o Egito;	qui consurgens accepit puerum et matrem eius nocte et recessit in aegyptum	qui consurgens accepit puerum et matrem eius nocte et secessit in aegyptum	FALSE
12749	et erat ibi usque ad obitum Herodis	15 Et erat ibi usque ad obitum Herodis, 	15 E lá ficou até a morte de Herodes, 	et erat ibi usque ad obitum herodis	et erat ibi usque ad obitum herodis	TRUE
12750	ut adimpleretur quod dictum est a Domino per prophetam dicentem	ut adimpleretur quod dictum est a Domino per prophetam dicentem:	para que se cumprisse o que foi dito pelo Senhor por intermédio do profeta, que disse:	ut adimpleretur quod dictum est a domino per prophetam dicentem	ut adimpleretur quod dictum est a domino per prophetam dicentem	TRUE
12751	ex Aegypto vocavi filium meum	“Ex Aegypto uocaui filium meum.”	“Do Egito chamei meu filho.”	ex aegypto uocaui filium meum	ex aegypto uocaui filium meum	TRUE
12752	tunc Herodes videns quoniam inlusus esset a magis iratus est valde et mittens occidit omnes pueros qui erant in Bethleem et in omnibus finibus eius a bimatu et infra secundum tempus quod exquisierat a magis	16 Tunc Herodes uidens quoniam inlusus esset a magis iratus est ualde et mittens occidit omnes pueros qui erant in Bethleem et in omnibus finibus eius a bimatu et infra secundum tempus quod exquisierat a magis.	16 Então Herodes, vendo que tinha sido ludibriado pelos magos, ficou muito irritado e mandou matar todos os meninos que havia em Belém e em toda a vizinhaça, de dois anos para baixo de acordo com o tempo que tinha sido indicado pelos magos.	tunc herodes uidens quoniam inlusus esset a magis iratus est ualde et mittens occidit omnes pueros qui erant in bethleem et in omnibus finibus eius a bimatu et infra secundum tempus quod exquisierat a magis	tunc herodes uidens quoniam inlusus esset a magis iratus est ualde et mittens occidit omnes pueros qui erant in bethleem et in omnibus finibus eius a bimatu et infra secundum tempus quod exquisierat a magis	TRUE
12753	tunc adimpletum est quod dictum est per Hieremiam prophetam dicentem	17 Tunc adimpletum est quod dictum est per Hieremiam prophetam dicentem:	17 Cumpriu-se então o que foi dito por intermédio do profeta Jeremias, que disse:	tunc adimpletum est quod dictum est per hieremiam prophetam dicentem	tunc adimpletum est quod dictum est per hieremiam prophetam dicentem	TRUE
12754	vox in Rama audita est ploratus et ululatus multus	18 “Vox in Rama audita est, ploratus et ululatus multus;	18 “Uma voz em Ramá foi ouvida, choro e muito lamento;	uox in rama audita est ploratus et ululatus multus	uox in rama audita est ploratus et ululatus multus	TRUE
12755	Rachel plorans filios suos et noluit consolari quia non sunt	Rachel plorans filios suos et noluit consolari quia non sunt.”	é Raquel chorando seus filhos e não quis ser consolada porque eles já não existem.”	rachel plorans filios suos et noluit consolari quia non sunt	rachel plorans filios suos et noluit consolari quia non sunt	TRUE
12756	defuncto autem Herode ecce apparuit angelus Domini in somnis Ioseph in Aegypto dicens	19 Defuncto autem Herode ecce apparuit angelus Domini in somnis Ioseph in Aegypto, 20 dicens:	19 Morto, porém, Herodes, eis que apareceu o anjo do Senhor em sonho a José no Egito, 20 dizendo:	defuncto autem herode ecce apparuit angelus domini in somnis ioseph in aegypto dicens	defuncto autem herode ecce apparuit angelus domini in somnis ioseph in aegypto dicens	TRUE
12757	surge et accipe puerum et matrem eius et vade in terram Israhel	“Surge et accipe puerum et matrem eius et uade in terram Israhel;	“Levanta e pega o menino e a mãe dele e vai para a terra de Israel;	surge et accipe puerum et matrem eius et uade in terram israhel	surge et accipe puerum et matrem eius et uade in terram israhel	TRUE
12758	defuncti sunt enim qui quaerebant animam pueri	defuncti sunt enim qui quaerebant animam pueri.	pois estão mortos os que queriam a alma do menino.	defuncti sunt enim qui quaerebant animam pueri	defuncti sunt enim qui quaerebant animam pueri	TRUE
12759	qui surgens accepit puerum et matrem eius et venit in terram Israhel	21 Qui surgens accepit puerum et matrem eius et uenit in terram Israhel.	21 E ele, levantando-se, pegou o menino e a mãe dele e veio para a terra de Israel.	qui surgens accepit puerum et matrem eius et uenit in terram israhel	qui surgens accepit puerum et matrem eius et uenit in terram israhel	TRUE
12760	audiens autem quod Archelaus regnaret in Iudaea pro Herode patre suo timuit illo ire	22 Audiens autem quod Archelaus regnaret in Iudaea pro Herode patre suo, timuit illo ire;	22 Ouvindo, porém, que Arquelau reinava na Judéia em lugar de seu pai, Herodes, teve medo de ir para lá;	audiens autem quod archelaus regnaret in iudaea pro herode patre suo timuit illo ire	audiens autem quod archelaus regnaret in iudaea pro herode patre suo timuit illo ire	TRUE
12761	et admonitus in somnis secessit in partes Galilaeae	et admonitus in somnis secessit in partes Galilaeae.	e advertido em sonho, partiu para a região da Galiléia.	et admonitus in somnis secessit in partes galilaeae	et admonitus in somnis secessit in partes galilaeae	TRUE
12762	et veniens habitavit in civitate quae vocatur Nazareth ut adimpleretur quod dictum est per prophetas quoniam Nazareus vocabitur	23 Et ueniens habitauit in ciuitate quae uocatur Nazareth, ut adimpleretur quod dictum est per prophetas: “Quoniam Nazareus uocabitur.”	23 E, chegando, morou na cidade que se cham Nazaré, de modo que se cumpria o foi dito por intermédio dos profetas: “Que ele será chamado Nazareno.”	et ueniens habitauit in ciuitate quae uocatur nazareth ut adimpleretur quod dictum est per prophetas quoniam nazareus uocabitur	et ueniens habitauit in ciuitate quae uocatur nazareth ut adimpleretur quod dictum est per prophetas quoniam nazareus uocabitur	TRUE
12765	in diebus autem illis venit Iohannes Baptista praedicans in deserto Iudaeae et dicens	3 1 In diebus autem illis uenit Iohannes Baptista praedicans in deserto Iudaeae 2 et dicens:	3 1 Naqueles dias, veio João Batista pregando no deserto da Judéia 2 e dizendo:	in diebus autem illis uenit iohannes baptista praedicans in deserto iudaeae et dicens	in diebus autem illis uenit iohannes baptista praedicans in deserto iudaeae et dicens	TRUE
12766	paenitentiam agite	“Paenitentiam agite;	“Fazei penitência;	paenitentiam agite	paenitentiam agite	TRUE
12767	adpropinquavit enim regnum caelorum	adpropinquauit enim regnum caelorum.	pois ficou próximo o reino dos céus.	adpropinquauit enim regnum caelorum	adpropinquauit enim regnum caelorum	TRUE
12768	hic est enim qui dictus est per Esaiam prophetam dicentem	3 Hic est enim qui dictus est per Esaiam prophetam dicentem:	3 Pois este é quem foi dito por intermédio do profeta Isaías, ao dizer:	hic est enim qui dictus est per esaiam prophetam dicentem	hic est enim qui dictus est per esaiam prophetam dicentem	TRUE
12769	vox clamantis in deserto	“Vox clamantis in deserto, 	“Voz de quem clama no deserto, 	uox clamantis in deserto	uox clamantis in deserto	TRUE
47490	parate viam Domini	parate uiam Domini;	preparai o caminho do Senhor, 	parate uiam domini	parate uiam domini	TRUE
47491	rectas facite semitas eius	rectas facite semitas eius.”	fazei retas as suas veredas.”	rectas facite semitas eius	rectas facite semitas eius	TRUE
12771	ipse autem Iohannes habebat vestimentum de pilis camelorum et zonam pelliciam circa lumbos suos	4 Ipse autem Iohannes habebat uestimentum de pilis camelorum et zonam pelliciam circa lumbos suos;	4 Esse João tinha sua vestimenta feita de pelos de camelos e um cinto de couro em volta de sua cintura;	ipse autem iohannes habebat uestimentum de pilis camelorum et zonam pelliciam circa lumbos suos	ipse autem iohannes habebat uestimentum de pilis camelorum et zonam pelliciam circa lumbos suos	TRUE
