sentence_id	sentence	ref	sent_order
86123	Sed in omni iniustitia permultum interest utrum perturbatione aliqua animi quae plerumque brevis est et ad tempus an consulto et cogitata fiat iniuria	Cic.Off.1.27	5491
86124	Leviora enim sunt ea quae repentino aliquo motu accidunt quam ea quae meditata et praeparata inferuntur	Cic.Off.1.27	5492
86125	Ac de inferenda quidem iniuria satis dictum est	Cic.Off.1.27	5493
86126	Praetermittendae autem defensionis deserendi que officii plures solent esse causae	Cic.Off.1.28	5494
86127	nam aut inimicitias aut laborem aut sumptus suscipere nolunt aut etiam neglegentia pigritia inertia aut suis studiis quibusdam occupationibus ve sic impediuntur ut eos quos tutari debeant desertos esse patiantur	Cic.Off.1.28	5495
86128	Itaque videndum est ne non satis sit id quod apud Platonem est in philosophos dictum quod in veri investigatione versentur quod que ea quae plerique vehementer expetant de quibus inter se digladiari soleant contemnant et pro nihilo putent propterea iustos esse	Cic.Off.1.28	5496
86129	Nam alterum assequuntur ut inferenda ne cui noceant iniuria	Cic.Off.1.28	5497
88127	in alterum incidunt	Cic.Off.1.28	5498
86130	discendi enim studio impediti quos tueri debent deserunt	Cic.Off.1.28	5499
86131	Itaque eos ne ad rem publicam quidem accessuros putat nisi coactos	Cic.Off.1.28	5500
86132	Aequius autem erat id voluntate fieri	Cic.Off.1.28	5501
86133	nam hoc ipsum ita iustum est quod recte fit si est voluntarium	Cic.Off.1.28	5502
86134	Sunt etiam qui aut studio rei familiaris tuendae aut odio quodam hominum suum se negotium agere dicant ne c facere cuiquam videantur iniuriam	Cic.Off.1.29	5503
86135	Qui altero genere iniustitiae vacant	Cic.Off.1.29	5504
88128	in alterum incurrunt	Cic.Off.1.29	5505
86136	deserunt enim vitae societatem quia nihil conferunt in eam studii nihil operae nihil facultatum	Cic.Off.1.29	5506
86137	Quando igitur duobus generibus iniustitiae propositis adiunximus causas utriusque generis eas que res ante constituimus quibus iustitia contineretur facile quod cuiusque temporis officium sit poterimus nisi nos met ipsos valde amabimus iudicare	Cic.Off.1.29	5507
86138	est enim difficilis cura rerum alienarum	Cic.Off.1.30	5508
86139	Quamquam Terentianus ille Chremes humani nihil a se alienum putat	Cic.Off.1.30	5509
86140	sed tamen quia magis ea percipimus atque sentimus quae nobis ipsis aut prospera aut adversa eveniunt quam illa quae ceteris quae quasi longo intervallo interiecto videmus aliter de illis ac de nobis iudicamus	Cic.Off.1.30	5510
86141	Quocirca bene praecipiunt qui vetant quicquam agere quod dubites aequum sit an iniquum	Cic.Off.1.30	5511
86142	Aequitas enim lucet ipsa per se	Cic.Off.1.30	5512
88129	dubitatio cogitationem significat iniuriae	Cic.Off.1.30	5513
86143	Sed incidunt saepe tempora cum ea quae maxime videntur digna esse iusto homine eo que quem virum bonum dicimus commutantur fiunt que contraria ut reddere depositum facere promissum quae que pertinent ad veritatem et ad fidem ea migrare interdum et non servare fit iustum	Cic.Off.1.31	5514
86144	Referri enim decet ad ea quae posui principio fundamenta iustitiae primum ut ne cui noceatur deinde ut communi utilitati serviatur	Cic.Off.1.31	5515
86145	Ea cum tempore commutantur commutatur officium et non semper est idem	Cic.Off.1.31	5516
86146	Potest enim accidere promissum aliquod et conventum ut id effici sit inutile vel ei cui promissum sit vel ei qui promiserit	Cic.Off.1.32	5517
86147	Nam si ut in fabulis est Neptunus quod Theseo promiserat non fecisset Theseus Hippolyto filio non esset orbatus	Cic.Off.1.32	5518
86148	ex tribus enim optatis ut scribitur hoc erat tertium quod de Hippolyti interitu iratus optavit	Cic.Off.1.32	5519
86149	quo impetrato in maximos luctus incidit	Cic.Off.1.32	5520
86150	Ne c promissa igitur servanda sunt ea quae sint iis quibus promiseris inutilia ne c si plus tibi ea noceant quam illi prosint cui promiseris contra officium est maius anteponi minori ut si constitueris cuipiam te advocatum in rem praesentem esse venturum atque interim graviter aegrotare filius coeperit non sit contra officium non facere quod dixeris magis que ille cui promissum sit ab officio discedat si se destitutum queratur	Cic.Off.1.32	5521
86152	Iam illis promissis standum non esse quis non videt quae coactus quis metu quae deceptus dolo promiserit	Cic.Off.1.32	5522
86153	quae quidem pleraque iure praetorio liberantur non nulla legibus	Cic.Off.1.32	5523
86154	Exsistunt etiam saepe iniuriae calumnia quadam et nimis callida sed malitiosa iuris interpretatione	Cic.Off.1.33	5524
86155	Ex quo illud Summum ius summa iniuria factum est iam tritum sermone proverbium	Cic.Off.1.33	5525
86156	Quo in genere etiam in re publica multa peccantur ut ille qui cum triginta dierum essent cum hoste indutiae factae noctu populabatur agros quod dierum essent pactae non noctium indutiae	Cic.Off.1.33	5526
86157	Ne noster quidem probandus si verum est Quintum Fabium Labeonem seu quem alium nihil enim habeo praeter auditum arbitrum Nolanis et Neapolitanis de finibus a senatu datum cum ad locum venisset cum utrisque separatim locutum ne cupide quid agerent ne appetenter atque ut regredi quam progredi mallent	Cic.Off.1.33	5527
86159	Id cum utrique fecissent aliquantum agri in medio relictum est	Cic.Off.1.33	5528
86160	Itaque illorum finis sic ut ipsi dixerant terminavit	Cic.Off.1.33	5529
86161	in medio relictum quod erat populo Romano adiudicavit	Cic.Off.1.33	5530
86162	Decipere hoc quidem est non iudicare	Cic.Off.1.33	5531
86163	Quocirca in omni est re fugienda talis sollertia	Cic.Off.1.33	5532
86164	Sunt autem quaedam officia etiam adversus eos servanda a quibus iniuriam acceperis	Cic.Off.1.33	5533
86165	Est enim ulciscendi et puniendi modus	Cic.Off.1.33	5534
86166	atque haud scio an satis sit eum qui lacessierit iniuriae suae paenitere ut et ipse ne quid tale posthac et ceteri sint ad iniuriam tardiores	Cic.Off.1.33	5535
86167	Atque in re publica maxime conservanda sunt iura belli	Cic.Off.1.34	5536
86168	Nam cum sint duo genera decertandi unum per disceptationem alterum per vim cum que illud proprium sit hominis hoc beluarum confugiendum est ad posterius si uti non licet superiore	Cic.Off.1.34	5537
86169	Quare suscipienda quidem bella sunt ob eam causam ut sine iniuria in pace vivatur parta autem victoria conservandi ii qui non crudeles in bello non immanes fuerunt ut maiores nostri Tusculanos Aequos Volscos Sabinos Hernicos in civitatem etiam acceperunt at Carthaginem et Numantiam funditus sustulerunt	Cic.Off.1.35	5538
86170	nollem Corinthum sed credo aliquid secutos opportunitatem loci maxime ne posset aliquando ad bellum faciendum locus ipse adhortari	Cic.Off.1.35	5539
86171	Mea quidem sententia paci quae nihil habitura sit insidiarum semper est consulendum	Cic.Off.1.35	5540
86172	In quo si mihi esset optemperatum si non optimam at aliquam rem publicam quae nunc nulla est haberemus	Cic.Off.1.35	5541
86173	Et cum iis quos vi deviceris consulendum est tum ii qui armis positis ad imperatorum fidem confugient quamvis murum aries percusserit recipiendi	Cic.Off.1.35	5542
86174	In quo tantopere apud nostros iustitia culta est ut ii qui civitates aut nationes devictas bello in fidem recepissent earum patroni essent more maiorum	Cic.Off.1.35	5543
86175	Ac belli quidem aequitas sanctissime fetiali populi Romani iure perscripta est	Cic.Off.1.36	5544
86176	Ex quo intellegi potest nullum bellum esse iustum nisi quod aut rebus repetitis geratur aut denuntiatum ante sit et indictum	Cic.Off.1.36	5545
86177	Marci quidem Catonis senis est epistula ad Marcum filium in qua scribit se audisse eum missum factum esse a consule cum in Macedonia bello Persico miles esset	Cic.Off.1.37	5546
86180	Monet igitur ut caveat ne proelium ineat	Cic.Off.1.37	5547
86181	negat enim ius esse qui miles non sit cum hoste pugnare	Cic.Off.1.37	5548
86182	Equidem etiam illud animadverto quod qui proprio nomine perduellis esset is hostis vocaretur lenitate verbi rei tristitiam mitigatam	Cic.Off.1.37	5549
86183	Hostis enim apud maiores nostros is dicebatur quem nunc peregrinum dicimus	Cic.Off.1.37	5550
86184	Indicant duodecim tabulae	Cic.Off.1.37	5551
86185	aut status dies cum hoste	Cic.Off.1.37	5552
88131	itemque	Cic.Off.1.37	5553
86186	adversus hostem aeterna auctoritas	Cic.Off.1.37	5554
86187	Quid ad hanc mansuetudinem addi potest eum qui cum bellum geras tam molli nomine appellare	Cic.Off.1.37	5555
86188	Quamquam id nomen durius effecit iam vetustas	Cic.Off.1.37	5556
86189	a peregrino enim recessit et proprie in eo qui arma contra ferret remansit	Cic.Off.1.37	5557
86190	Cum vero de imperio decertatur bello que quaeritur gloria causas omnino subesse tamen oportet easdem quas dixi paulo ante iustas causas esse bellorum	Cic.Off.1.38	5558
86191	Sed ea bella quibus imperii proposita gloria est minus acerbe gerenda sunt	Cic.Off.1.38	5559
86192	Poeni foedifragi	Cic.Off.1.38	5560
88133	crudelis Hannibal	Cic.Off.1.38	5561
88134	reliqui iustiores	Cic.Off.1.38	5562
86193	Pyrrhi quidem de captivis reddendis illa praeclara	Cic.Off.1.38	5563
86194	Ne c mi aurum posco ne c mi pretium dederitis	Cic.Off.1.38	5564
86195	Vos ne velit an me regnare era quid ve ferat Fors Virtute experiamur	Cic.Off.1.38	5565
86196	Et hoc simul accipe dictum	Cic.Off.1.38	5566
86197	Quorum virtuti belli fortuna pepercit Eorundem libertati me parcere certum est	Cic.Off.1.38	5567
86198	Dono	Cic.Off.1.38	5568
88136	ducite do que volentibus cum magnis dis	Cic.Off.1.38	5569
86199	Regalis sane et digna Aeacidarum genere sententia	Cic.Off.1.38	5570
86200	Atque etiam si quid singuli temporibus adducti hosti promiserunt est in eo ipso fides conservanda ut primo Punico bello Regulus captus a Poenis cum de captivis commutandis Romam missus esset iurasset que se rediturum primum ut venit captivos reddendos in senatu non censuit deinde cum retineretur a propinquis et ab amicis ad supplicium redire maluit quam fidem hosti datam fallere	Cic.Off.1.39	5571
86201	Ac de bellicis quidem officiis satis dictum est	Cic.Off.1.41	5572
86202	Meminerimus autem etiam adversus infimos iustitiam esse servandam	Cic.Off.1.41	5573
86203	Est autem infima condicio et fortuna servorum quibus non male praecipiunt qui ita iubent uti ut mercennariis	Cic.Off.1.41	5574
86204	operam exigendam	Cic.Off.1.41	5575
159288	iusta praebenda	Cic.Off.1.41	5576
86205	Cum autem duobus modis id est aut vi aut fraude fiat iniuria fraus quasi vulpeculae vis leonis videtur	Cic.Off.1.41	5577
86206	utrumque homine alienissimum sed fraus odio digna maiore	Cic.Off.1.41	5578
86207	Totius autem iniustitiae nulla capitalior quam eorum qui tum cum maxime fallunt id agunt ut viri boni esse videantur	Cic.Off.1.41	5579
86208	De iustitia satis dictum	Cic.Off.1.41	5580
86209	Deinceps ut erat propositum de beneficentia ac de liberalitate dicatur qua quidem nihil est naturae hominis accommodatius sed habet multas cautiones	Cic.Off.1.42	5581
86210	Videndum est enim primum ne obsit benignitas et iis ipsis quibus benigne videbitur fieri et ceteris deinde ne maior benignitas sit quam facultates tum ut pro dignitate cuique tribuatur	Cic.Off.1.42	5582
86211	id enim est iustitiae fundamentum ad quam haec referenda sunt omnia	Cic.Off.1.42	5583
86212	Nam et qui gratificantur cuipiam quod obsit illi cui prodesse velle videantur non benefici ne que liberales sed perniciosi assentatores iudicandi sunt et qui aliis nocent ut in alios liberales sint in eadem sunt iniustitia ut si in suam rem aliena convertant	Cic.Off.1.42	5584
86213	Sunt autem multi et quidem cupidi splendoris et gloriae qui eripiunt aliis quod aliis largiantur ii que arbitrantur se beneficos in suos amicos visum iri si locupletent eos quacumque ratione	Cic.Off.1.43	5585
86214	Id autem tantum abest ab officio ut nihil magis officio possit esse contrarium	Cic.Off.1.43	5586
86215	Videndum est igitur ut ea liberalitate utamur quae prosit amicis noceat nemini	Cic.Off.1.43	5587
86216	Quare Luci Sullae Gaii Caesaris pecuniarum translatio a iustis dominis ad alienos non debet liberalis videri	Cic.Off.1.43	5588
86219	nihil est enim liberale quod non idem iustum	Cic.Off.1.43	5589
86220	Alter locus erat cautionis ne benignitas maior esset quam facultates quod qui benigniores volunt esse quam res patitur primum in eo peccant quod iniuriosi sunt in proximos	Cic.Off.1.44	5590
86221	quas enim copias his et suppeditari aequius est et relinqui eas transferunt ad alienos	Cic.Off.1.44	5591
86222	Inest autem in tali liberalitate cupiditas plerumque rapiendi et auferendi per iniuriam ut ad largiendum suppetant copiae	Cic.Off.1.44	5592
86223	Videre etiam licet plerosque non tam natura liberales quam quadam gloria ductos ut benefici videantur facere multa quae proficisci ab ostentatione magis quam a voluntate videantur	Cic.Off.1.44	5593
86224	Talis autem simulatio vanitati est coniunctior quam aut liberalitati aut honestati	Cic.Off.1.44	5594
86225	Tertium est propositum ut in beneficentia dilectus esset dignitatis	Cic.Off.1.45	5595
86226	in quo et mores eius erunt spectandi in quem beneficium conferetur et animus erga nos et communitas ac societas vitae et ad nostras utilitates officia ante collata	Cic.Off.1.45	5596
86227	quae ut concurrant omnia optabile est	Cic.Off.1.45	5597
86228	si minus plures causae maiores que ponderis plus habebunt	Cic.Off.1.45	5598
86230	Nam fortis animus et magnus in homine non perfecto ne c sapiente ferventior plerumque est	Cic.Off.1.46	5600
88137	illae virtutes bonum virum videntur potius attingere	Cic.Off.1.46	5601
86231	Atque haec in moribus	Cic.Off.1.46	5602
86232	De benivolentia autem quam quisque habeat erga nos primum illud est in officio ut ei plurimum tribuamus a quo plurimum diligamur sed benivolentiam non adulescentulorum more ardore quodam amoris sed stabilitate potius et constantia iudicemus	Cic.Off.1.47	5603
86233	Sin erunt merita ut non ineunda sed referenda sit gratia maior quaedam cura adhibenda est	Cic.Off.1.47	5604
86234	nullum enim officium referenda gratia magis necessarium est	Cic.Off.1.47	5605
86235	Quod si ea quae utenda acceperis maiore mensura si modo possis iubet reddere Hesiodus quidnam beneficio provocati facere debemus	Cic.Off.1.48	5606
86236	an imitari agros fertiles qui multo plus efferunt quam acceperunt	Cic.Off.1.48	5607
86237	Etenim si in eos quos speramus nobis profuturos non dubitamus officia conferre quales in eos esse debemus qui iam profuerunt	Cic.Off.1.48	5608
86239	Acceptorum autem beneficiorum sunt dilectus habendi ne c dubium quin maximo cuique plurimum debeatur	Cic.Off.1.49	5609
86240	In quo tamen in primis quo quisque animo studio benivolentia fecerit ponderandum est	Cic.Off.1.49	5610
86241	Multi enim faciunt multa temeritate quadam sine iudicio vel morbo in omnes vel repentino quodam quasi vento impetu animi incitati	Cic.Off.1.49	5611
86242	quae beneficia aeque magna non sunt habenda atque ea quae iudicio considerate constanter que delata sunt	Cic.Off.1.49	5612
86243	Sed in collocando beneficio et in referenda gratia si cetera paria sunt hoc maxime officii est ut quisque maxime opis indigeat ita ei potissimum opitulari	Cic.Off.1.49	5613
86244	quod contra fit a plerisque	Cic.Off.1.49	5614
86245	a quo enim plurimum sperant etiamsi ille iis non eget tamen ei potissimum inserviunt	Cic.Off.1.49	5615
86246	Optime autem societas hominum coniunctio que servabitur si ut quisque erit coniunctissimus ita in eum benignitatis plurimum conferetur	Cic.Off.1.50	5616
86247	Sed quae naturae principia sint communitatis et societatis humanae repetendum videtur altius	Cic.Off.1.50	5617
86248	est enim primum quod cernitur in universi generis humani societate	Cic.Off.1.50	5618
86249	Eius autem vinculum est ratio et oratio quae docendo discendo communicando disceptando iudicando conciliat inter se homines coniungit que naturali quadam societate	Cic.Off.1.50	5619
86250	ne que ulla re longius absumus a natura ferarum in quibus inesse fortitudinem saepe dicimus ut in equis in leonibus iustitiam aequitatem bonitatem non dicimus	Cic.Off.1.50	5620
86251	sunt enim rationis et orationis expertes	Cic.Off.1.50	5621
86252	Ac latissime quidem patens hominibus inter ipsos omnibus inter omnes societas haec est	Cic.Off.1.51	5622
86253	in qua omnium rerum quas ad communem hominum usum natura genuit est servanda communitas ut quae discripta sunt legibus et iure civili haec ita teneantur ut sit constitutum legibus ipsis cetera sic observentur ut in Graecorum proverbio est amicorum esse communia omnia	Cic.Off.1.51	5623
86254	Omnium autem communia hominum videntur ea quae sunt generis eius quod ab Ennio positum in una re transferri in permultas potest	Cic.Off.1.51	5624
86255	Homó qui erranti cómiter monstrát viam Quasi lúmen de suo lúmine accendát facit	Cic.Off.1.51	5625
86256	Nihiló minus ipsi lúcet cum illi accénderit	Cic.Off.1.51	5626
86257	Una ex re satis praecipit ut quicquid sine detrimento commodari possit id tribuatur vel ignoto	Cic.Off.1.51	5627
86258	ex quo sunt illa communia non prohibere aqua profluente pati ab igne ignem capere si qui velit consilium fidele deliberanti dare quae sunt iis utilia qui accipiunt danti non molesta	Cic.Off.1.52	5628
86260	Quare et his utendum est et semper aliquid ad communem utilitatem afferendum	Cic.Off.1.52	5629
86261	Sed quoniam copiae parvae singulorum sunt eorum autem qui his egeant infinita est multitudo vulgaris liberalitas referenda est ad illum Ennii finem Nihilo minus ipsi lucet ut facultas sit qua in nostros simus liberales	Cic.Off.1.52	5630
86263	Gradus autem plures sunt societatis hominum	Cic.Off.1.53	5631
86264	Ut enim ab illa infinita discedatur propior est eiusdem gentis nationis linguae qua maxime homines coniunguntur	Cic.Off.1.53	5632
86265	interius etiam est eiusdem esse civitatis	Cic.Off.1.53	5633
86266	multa enim sunt civibus inter se communia forum fana porticus viae leges iura iudicia suffragia consuetudines praeterea et familiaritates multis que cum multis res rationes que contractae	Cic.Off.1.53	5634
86268	Artior vero colligatio est societatis propinquorum	Cic.Off.1.53	5635
86269	ab illa enim immensa societate humani generis in exiguum angustum que concluditur	Cic.Off.1.53	5636
86270	Nam cum sit hoc natura commune animantium ut habeant libidinem procreandi prima societas in ipso coniugio est proxima in liberis deinde una domus communia omnia	Cic.Off.1.54	5637
86271	id autem est principium urbis et quasi seminarium rei publicae	Cic.Off.1.54	5638
86272	Sequuntur fratrum coniunctiones post consobrinorum sobrinorum que qui cum una domo iam capi non possint in alias domos tamquam in colonias exeunt	Cic.Off.1.54	5639
