sentence_id	sentence	ref	latintext	translation	translator	sent_order	norm_sentence	norm_text	sameEdition
85869	tantum modo dissimilitudo meae rationis offendit hominem	Cic.Att.6.1.2	tantum modo dissimilitudo meae rationis offendit hominem.	somente a diferença de meu método ofende o homem.	José Dejalma Dezotti	4784	tantum modo dissimilitudo meae rationis offendit hominem	tantum modo dissimilitudo meae rationis offendit hominem	TRUE
78538	quid enim potest esse tam dissimile quam illo imperante exhaustam esse sumptibus et iacturis provinciam nobis eam obtinentibus nummum nullum esse erogatum ne c privatim ne c publice	Cic.Att.6.1.2	Quid enim potest esse tam dissimile quam illo imperante exhaustam esse sumptibus et iacturis prouinciam, nobis eam obtinentibus nummum nullum esse erogatum nec priuatim nec publice?	Pois o que pode ser tão diferente quanto a província ter sido arruinada com gastos e despesas, enquanto ele a governava, quando nós a obtivemos, não ter sido gasta nenhuma moeda nem privadamente nem públicamente?	José Dejalma Dezotti	4785	quid enim potest esse tam dissimile quam illo imperante exhaustam esse sumptibus et iacturis prouinciam nobis eam obtinentibus nummum nullum esse erogatum nec priuatim nec publice	quid enim potest esse tam dissimile quam illo imperante exhaustam esse sumptibus et iacturis prouinciam nobis eam obtinentibus nummum nullum esse erogatum nec priuatim nec publice	TRUE
78539	quid dicam de illius praefectis comitibus legatis etiam	Cic.Att.6.1.2	Quid dicam de illius praefectis, comitibus, legatis etiam?	O que vou dizer ainda de seus prefeitos, acompanhantes, legados?	José Dejalma Dezotti	4786	quid dicam de illius praefectis comitibus legatis etiam	quid dicam de illius praefectis comitibus legatis etiam	TRUE
78540	de rapinis de libidinibus de contumeliis	Cic.Att.6.1.2	De rapinis, de libidinibus, de contumeliis?	Das rapinas, das paixões, das ofensas?	José Dejalma Dezotti	4787	de rapinis de libidinibus de contumeliis	de rapinis de libidinibus de contumeliis	TRUE
78541	nunc autem domus me hercule nulla tanto consilio aut tanta disciplina gubernatur aut tam modesta est quam nostra tota provincia	Cic.Att.6.1.2	Nunc autem domus mehercule nulla tanto consilio aut tanta disciplina gubernatur aut tam modesta est quam nostra tota prouincia.	Já agora nenhuma casa \- por hércules \- é governada com tanto juízo ou com tanta disciplina ou está tão moderada quanto a nossa província inteira.	José Dejalma Dezotti	4788	nunc autem domus me hercule nulla tanto consilio aut tanta disciplina gubernatur aut tam modesta est quam nostra tota prouincia	nunc autem domus mehercule nulla tanto consilio aut tanta disciplina gubernatur aut tam modesta est quam nostra tota prouincia	FALSE
78542	haec non nulli amici Appi ridicule interpretantur qui me idcirco putent bene audire velle ut ille male audiat et recte facere non meae laudis sed illius contumeliae causa	Cic.Att.6.1.2	Haec non nulli amici Appi ridicule interpretantur, qui me idcirco putent bene audire uelle ut ille male audiat et recte facere non meae laudis sed illius contumeliae causa.	Alguns amigos de Ápio interpretam isto de modo ridículo: eles julgam que eu, neste caso, quero ter boa fama para que ele tenha má e que ajo com retidão não para o meu louvor, mas para a sua desonra.	José Dejalma Dezotti	4789	haec non nulli amici appi ridicule interpretantur qui me idcirco putent bene audire uelle ut ille male audiat et recte facere non meae laudis sed illius contumeliae causa	haec non nulli amici appi ridicule interpretantur qui me idcirco putent bene audire uelle ut ille male audiat et recte facere non meae laudis sed illius contumeliae causa	TRUE
78543	sin Appius ut Bruti litterae quas ad te misit significabant gratias nobis agit non moleste fero sed tamen eo ipso die quo haec ante lucem scribebam cogitabam eius multa inique constituta et acta tollere	Cic.Att.6.1.2	Sin Appius, ut Bruti litterae quas ad te misit significabant, gratias nobis agit, non moleste fero, sed tamen eo ipso die quo haec ante lucem scribebam cogitabam eius multa inique constituta et acta tollere.	Mas se Ápio, como indicava a carta de Bruto, que ele enviou a ti, me agradece, não o levo a mal, mas nesse mesmo dia em que escrevo esta antes do amanhecer, penso em anular muitas coisas dele estabelecidas e realizadas de modo injusto.	José Dejalma Dezotti	4790	sin appius ut bruti litterae quas ad te misit significabant gratias nobis agit non moleste fero sed tamen eo ipso die quo haec ante lucem scribebam cogitabam eius multa inique constituta et acta tollere	sin appius ut bruti litterae quas ad te misit significabant gratias nobis agit non moleste fero sed tamen eo ipso die quo haec ante lucem scribebam cogitabam eius multa inique constituta et acta tollere	TRUE
78544	nunc venio ad Brutum quem ego omni studio te auctore sum complexus quem etiam amare coeperam sed ilico me revocavi ne te offenderem	Cic.Att.6.1.3	**3** Nunc uenio ad Brutum, quem ego omni studio te auctore sum complexus, quem etiam amare coeperam; sed plane dico, me reuocaui ne te offenderem.	**3** Agora venho a Bruto, a quem eu, a teu conselho, acolhi com todo interesse, a quem também eu tinha começado a estimar; mas digo com franqueza, voltei atrás para não te ofender.	José Dejalma Dezotti	4791	nunc uenio ad brutum quem ego omni studio te auctore sum complexus quem etiam amare coeperam sed ilico me reuocaui ne te offenderem	nunc uenio ad brutum quem ego omni studio te auctore sum complexus quem etiam amare coeperam sed plane dico me reuocaui ne te offenderem	FALSE
78545	noli enim putare me quicquam maluisse quam ut mandatis satis facerem ne c ulla de re plus laborasse	Cic.Att.6.1.3	Noli enim putare me quicquam maluisse quam ut mandatis satis facerem nec ulla de re plus laborasse.	Pois não julgues que eu tenha querido algo mais do que satisfazer os seus encargos e que em relação a nenhuma outra coisa eu tenho me esforçado mais.	José Dejalma Dezotti	4792	noli enim putare me quicquam maluisse quam ut mandatis satis facerem nec ulla de re plus laborasse	noli enim putare me quicquam maluisse quam ut mandatis satis facerem nec ulla de re plus laborasse	TRUE
78546	mandatorum autem mihi libellum dedit isdem que de rebus tu me cum egeras	Cic.Att.6.1.3	Mandatorum autem mihi libellum dedit, isdemque de rebus tu mecum egeras.	Ele, por sua vez, me deu uma lista de encargos e sobre essas mesmas coisas tu tinhas tratado comigo.	José Dejalma Dezotti	4793	mandatorum autem mihi libellum dedit isdemque de rebus tu me cum egeras	mandatorum autem mihi libellum dedit isdemque de rebus tu mecum egeras	FALSE
78547	omnia sum diligentissime persecutus	Cic.Att.6.1.3	Omnia sum diligentissime persecutus.	Levei tudo a cabo com a maior presteza.	José Dejalma Dezotti	4794	omnia sum diligentissime persecutus	omnia sum diligentissime persecutus	TRUE
78548	primum ab Ariobarzane sic contendi ut talenta quae mihi pollicebatur illi daret	Cic.Att.6.1.3	Primum ab Ariobarzane sic contendi, ut talenta quae mihi pollicebatur illi daret.	Em primeiro lugar, pedi a Ariobárzanes que ele lhe desse os talentos que me prometia.	José Dejalma Dezotti	4795	primum ab ariobarzane sic contendi ut talenta quae mihi pollicebatur illi daret	primum ab ariobarzane sic contendi ut talenta quae mihi pollicebatur illi daret	TRUE
78549	quoad me cum rex fuit perbono loco res erat	Cic.Att.6.1.3	Quoad mecum rex fuit, perbono loco res erat;	Enquanto o rei esteve comigo, a coisa estava em excelente situação;	José Dejalma Dezotti	4796	quoad me cum rex fuit perbono loco res erat	quoad mecum rex fuit perbono loco res erat	FALSE
85870	post a Pompei procuratoribus sescentis premi coeptus est	Cic.Att.6.1.3	post a Pompei procuratoribus sescentis premi coeptus est.	depois ele começou a ser pressionado por seiscentos procuradores de Pompeu.	José Dejalma Dezotti	4797	post a pompei procuratoribus sescentis premi coeptus est	post a pompei procuratoribus sescentis premi coeptus est	TRUE
78550	Pompeius autem quom ob ceteras causas plus potest unus quam ceteri omnes tum quod putatur ad bellum Parthicum esse venturus	Cic.Att.6.1.3	Pompeius autem cum ob ceteras causas plus potest unus quam ceteri omnes, tum quod putatur ad bellum Parthicum esse uenturus.	E Pompeu sozinho tem, por diversas razões, mais poder que todos os outros, mas principalmente porque se julga que ele virá para a guerra contra os partos.	José Dejalma Dezotti	4798	pompeius autem quom ob ceteras causas plus potest unus quam ceteri omnes tum quod putatur ad bellum parthicum esse uenturus	pompeius autem cum ob ceteras causas plus potest unus quam ceteri omnes tum quod putatur ad bellum parthicum esse uenturus	FALSE
78551	ei tamen sic nunc solvitur	Cic.Att.6.1.3	Ei tamen sic nunc soluitur:	A ele, contudo, se paga assim agora:	José Dejalma Dezotti	4799	ei tamen sic nunc soluitur	ei tamen sic nunc soluitur	TRUE
85871	tricesimo quoque die talenta Attica triginta tria et hoc ex tributis	Cic.Att.6.1.3	tricesimo quoque die talenta Attica XXXIII, et hoc ex tributis;	cada trinta dias trinta e três talentos áticos, e isto sai dos impostos;	José Dejalma Dezotti	4800	tricesimo quoque die talenta attica triginta tria et hoc ex tributis	tricesimo quoque die talenta attica xxxiii et hoc ex tributis	FALSE
78553	sed Gnaeus noster clementer id fert	Cic.Att.6.1.3	Sed Gnaeus noster clementer id fert;	Mas o nosso amigo Cneu suporta isso com clemência;	José Dejalma Dezotti	4801	sed gnaeus noster clementer id fert	sed gnaeus noster clementer id fert	TRUE
85872	sorte caret	Cic.Att.6.1.3	sorte caret,	não tem capital,	José Dejalma Dezotti	4802	sorte caret	sorte caret	TRUE
78554	alii ne que solvit cuiquam ne c potest solvere	Cic.Att.6.1.3	Alii neque soluit cuiquam nec potest soluere;	Ele (o rei) não para a nenhum outro nem pode pagar;	José Dejalma Dezotti	4803	alii neque soluit cuiquam nec potest soluere	alii neque soluit cuiquam nec potest soluere	TRUE
85874	nullum enim aerarium nullum vectigal habet	Cic.Att.6.1.3	nullum enim aerarium, nullum uectigal habet.	pois não tem nenhum erário, nenhum imposto.	José Dejalma Dezotti	4804	nullum enim aerarium nullum uectigal habet	nullum enim aerarium nullum uectigal habet	TRUE
78555	Appi instituto tributa imperat	Cic.Att.6.1.3	Appi instituto tributa imperat;	exige tributos com a regulamentação de Ápio;	José Dejalma Dezotti	4805	appi instituto tributa imperat	appi instituto tributa imperat	TRUE
78556	ea vix in faenus Pompei quod satis sit efficiunt	Cic.Att.6.1.3	ea uix in faenus Pompei quod satis sit efficiunt.	esses mal são suficientes para cobrir o rendimento de Pompeu.	José Dejalma Dezotti	4806	ea uix in faenus pompei quod satis sit efficiunt	ea uix in faenus pompei quod satis sit efficiunt	TRUE
78557	amici regis duo tres ve perdivites sunt sed ii suum tam diligenter tenent quam ego aut tu	Cic.Att.6.1.3	Amici regis duo tresue perdiuites sunt, sed ii suum tam diligenter tenent quam ego aut tu.	Dois ou três amigos do rei são muito ricos, mas esses mantêm o seu com tanto empenho quanto eu ou tu.	José Dejalma Dezotti	4807	amici regis duo tres ue perdiuites sunt sed ii suum tam diligenter tenent quam ego aut tu	amici regis duo tresue perdiuites sunt sed ii suum tam diligenter tenent quam ego aut tu	FALSE
78558	equidem non desino tamen per litteras rogare suadere accusare regem	Cic.Att.6.1.3	Equidem non desino tamen per litteras rogare, suadere, accusare regem.	Na verdade, não deixo, contudo, de rogar, de persuadir, de repreender o rei, por cartas.	José Dejalma Dezotti	4808	equidem non desino tamen per litteras rogare suadere accusare regem	equidem non desino tamen per litteras rogare suadere accusare regem	TRUE
78559	Deiotarus etiam mihi narravit se ad eum legatos misisse de re Bruti	Cic.Att.6.1.4	**4** Deiotarus etiam mihi narrauit se ad eum legatos misisse de re Bruti;	**4** Dejótaro me contou também que enviou legados a ele a respeito do caso de Bruto;	José Dejalma Dezotti	4809	deiotarus etiam mihi narrauit se ad eum legatos misisse de re bruti	deiotarus etiam mihi narrauit se ad eum legatos misisse de re bruti	TRUE
85875	eos sibi responsum rettulisse illum non habere	Cic.Att.6.1.4	eos sibi responsum rettulisse illum non habere.	que eles lhe trouxeram a resposta de que ele não tinha.	José Dejalma Dezotti	4810	eos sibi responsum rettulisse illum non habere	eos sibi responsum rettulisse illum non habere	TRUE
78560	et me hercule ego ita iudico nihil illo regno spoliatius nihil rege egentius	Cic.Att.6.1.4	Et mehercule ego ita iudico, nihil illo regno spoliatius, nihil rege egentius.	E, por hércules, eu também julgo assim, não há nada mais espoliado do que aquele reino, nada mais pobre do que o rei.	José Dejalma Dezotti	4811	et me hercule ego ita iudico nihil illo regno spoliatius nihil rege egentius	et mehercule ego ita iudico nihil illo regno spoliatius nihil rege egentius	FALSE
78561	itaque aut tutela cogito me abdicare aut ut pro Glabrione Scaevola faenus et impendium recusare	Cic.Att.6.1.4	Itaque aut tutela cogito me abdicare aut, ut pro Glabrione Scaeuola, faenus et impendium recusare.	E assim eu penso ou abdicar de minha tutela ou, como Cévola em favor de Glabrião, rejeitar o lucro e o rendimento.	José Dejalma Dezotti	4812	itaque aut tutela cogito me abdicare aut ut pro glabrione scaeuola faenus et impendium recusare	itaque aut tutela cogito me abdicare aut ut pro glabrione scaeuola faenus et impendium recusare	TRUE
78562	ego tamen quas per te Bruto promiseram praefecturas Marco Scaptio Lucio Gavio qui in regno rem Bruti procurabant detuli	Cic.Att.6.1.4	Ego tamen quas per te Bruto promiseram praefecturas M. Scaptio, L. Gauio, qui in regno rem Bruti procurabant, detuli;	Eu, contudo, concedi as prefeituras que tinha prometido por tua intervenção a Bruto a Marco Escápcio e Lúcio Gávio, que se ocupavam do assunto de Bruto no reino;	José Dejalma Dezotti	4813	ego tamen quas per te bruto promiseram praefecturas marco scaptio lucio gauio qui in regno rem bruti procurabant detuli	ego tamen quas per te bruto promiseram praefecturas m scaptio l gauio qui in regno rem bruti procurabant detuli	FALSE
85876	ne c enim in provincia mea negotiabantur	Cic.Att.6.1.4	nec enim in prouincia mea negotiabantur.	pois não estavam comerciando em minha província.	José Dejalma Dezotti	4814	nec enim in prouincia mea negotiabantur	nec enim in prouincia mea negotiabantur	TRUE
78563	tu autem meministi nos sic agere ut quot vellet praefecturas sumeret dum ne negotiatori	Cic.Att.6.1.4	Tu autem meministi nos sic agere ut quot uellet praefecturas sumeret, dum ne negotiatori;	E tu te lembras de que nós atuamos de tal modo que ele tomasse quantas prefeituras quisesse, desde que não para um comerciante;	José Dejalma Dezotti	4815	tu autem meministi nos sic agere ut quot uellet praefecturas sumeret dum ne negotiatori	tu autem meministi nos sic agere ut quot uellet praefecturas sumeret dum ne negotiatori	TRUE
78564	itaque duas ei praeterea dederam	Cic.Att.6.1.4	itaque duas ei praeterea dederam,	e assim lhe dei além disso duas,	José Dejalma Dezotti	4816	itaque duas ei praeterea dederam	itaque duas ei praeterea dederam	TRUE
78565	sed ii quibus petierat de provincia decesserant	Cic.Att.6.1.4	sed ii quibus petierat de prouincia decesserant.	mas aqueles para os quais ele tinha solicitado tinham ido embora da província.	José Dejalma Dezotti	4817	sed ii quibus petierat de prouincia decesserant	sed ii quibus petierat de prouincia decesserant	TRUE
78566	nunc cognosce de Salaminiis quod video tibi etiam novum accidisse tamquam mihi	Cic.Att.6.1.5	**5** Nunc cognosce de Salaminis, quod uideo tibi etiam nouum accidisse, tamquam mihi.	**5** Agora inteira-te sobre a gente de Salamina, pois vejo que também a ti te pegou de surpresa tal qual a mim.	José Dejalma Dezotti	4818	nunc cognosce de salaminiis quod uideo tibi etiam nouum accidisse tamquam mihi	nunc cognosce de salaminis quod uideo tibi etiam nouum accidisse tamquam mihi	FALSE
78567	numquam enim ex illo audivi illam pecuniam esse suam	Cic.Att.6.1.5	Numquam enim ex illo audiui illam pecuniam esse suam;	Pois nunca ouvi dele que o dinheiro era seu;	José Dejalma Dezotti	4819	numquam enim ex illo audiui illam pecuniam esse suam	numquam enim ex illo audiui illam pecuniam esse suam	TRUE
85877	quin etiam libellum ipsius habeo in quo est Salaminii pecuniam debent Marco Scaptio et Publio Matinio familiaribus meis	Cic.Att.6.1.5	quin etiam libellum ipsius habeo in quo est “Salamini pecuniam debent M. Scaptio et P. Matinio, familiaribus meis”.	e ainda mais, tenho apontamentos dele em que está: “Os salminos devem dinheiro a Marco Escápcio e Públio Matínio, amigos meus”.	José Dejalma Dezotti	4820	quin etiam libellum ipsius habeo in quo est salaminii pecuniam debent marco scaptio et publio matinio familiaribus meis	quin etiam libellum ipsius habeo in quo est salamini pecuniam debent m scaptio et p matinio familiaribus meis	FALSE
78568	eos mihi commendat	Cic.Att.6.1.5	Eos mihi commendat;	Ele os recomenda a mim;	José Dejalma Dezotti	4821	eos mihi commendat	eos mihi commendat	TRUE
85878	adscribit etiam et quasi calcar admovet intercessisse se pro iis magnam pecuniam	Cic.Att.6.1.5	adscribit etiam et quasi calcar admouet intercessisse se pro iis magnam pecuniam.	acrescenta ainda, e, por assim dizer, me estimula, que interpôs em favor deles uma grande quantia.	José Dejalma Dezotti	4822	adscribit etiam et quasi calcar admouet intercessisse se pro iis magnam pecuniam	adscribit etiam et quasi calcar admouet intercessisse se pro iis magnam pecuniam	TRUE
78569	confeceram ut solverent centesimis bienni ductis cum renovatione singulorum annorum	Cic.Att.6.1.5	Confeceram ut soluerent centesimis †sexenni† ductis cum renouatione singulorum annorum.	Eu consegui que pagassem juros de um por cento mensal com acumulação de juros cada ano.	José Dejalma Dezotti	4823	confeceram ut soluerent centesimis bienni ductis cum renouatione singulorum annorum	confeceram ut soluerent centesimis sexenni ductis cum renouatione singulorum annorum	FALSE
78570	at Scaptius quaternas postulabat	Cic.Att.6.1.5	At Scaptius quaternas postulabat.	Mas Escápcio pedia quatro por cento.	José Dejalma Dezotti	4824	at scaptius quaternas postulabat	at scaptius quaternas postulabat	TRUE
78571	metui si impetrasset ne tu ipse me amare desineres	Cic.Att.6.1.5	Metui, si impetrasset, ne tu ipse me amare desineres;	Tive medo de que, se ele conseguisse, tu próprio deixarias de gostar de mim;	José Dejalma Dezotti	4825	metui si impetrasset ne tu ipse me amare desineres	metui si impetrasset ne tu ipse me amare desineres	TRUE
85879	nam ab edicto meo recessissem et civitatem in Catonis et in ipsius Bruti fide locatam meis que beneficiis ornatam funditus perdidissem	Cic.Att.6.1.5	nam ab edicto meo recessissem et ciuitatem in Catonis et in ipsius Bruti fide locatam meisque beneficiis ornatam funditus perdidissem.	pois eu teria me afastado de meu edito e teria arruinado completamente uma cidade colocada sob a proteção de Catão e do próprio Bruto e provida de meus favores.	José Dejalma Dezotti	4826	nam ab edicto meo recessissem et ciuitatem in catonis et in ipsius bruti fide locatam meisque beneficiis ornatam funditus perdidissem	nam ab edicto meo recessissem et ciuitatem in catonis et in ipsius bruti fide locatam meisque beneficiis ornatam funditus perdidissem	TRUE
78572	atque hoc tempore ipso impingit mihi epistulam Scaptius Bruti rem illam suo periculo esse quod ne c mihi umquam Brutus dixerat ne c tibi etiam ut praefecturam Scaptio deferrem	Cic.Att.6.1.6	**6** Atque hoc tempore ipso impingit mihi epistulam Scaptius a Bruto rem illam suo periculo esse, quod nec mihi umquam Brutus dixerat nec tibi, etiam ut praefecturam Scaptio deferrem.	**6** E neste mesmo momento Escápcio me lança uma carta de Bruto: que aquele assunto o afetava, o que Bruto nunca dissera nem a mim nem a ti, que também concedesse a prefeitura a Escápcio.	José Dejalma Dezotti	4827	atque hoc tempore ipso impingit mihi epistulam scaptius bruti rem illam suo periculo esse quod nec mihi umquam brutus dixerat nec tibi etiam ut praefecturam scaptio deferrem	atque hoc tempore ipso impingit mihi epistulam scaptius a bruto rem illam suo periculo esse quod nec mihi umquam brutus dixerat nec tibi etiam ut praefecturam scaptio deferrem	FALSE
78573	id vero per te exceperamus ne negotiatori	Cic.Att.6.1.6	Id uero per te exceperamus, ne negotiatori;	Mas, por teu intermédio, tínhamos feito uma exceção, a nenhum comerciante;	José Dejalma Dezotti	4828	id uero per te exceperamus ne negotiatori	id uero per te exceperamus ne negotiatori	TRUE
85880	quod si cuiquam huic tamen non	Cic.Att.6.1.6	quod si cuiquam, huic tamen non.	e se a algum, a este, contudo, não.	José Dejalma Dezotti	4829	quod si cuiquam huic tamen non	quod si cuiquam huic tamen non	TRUE
78574	fuerat enim praefectus Appio et quidem habuerat turmas equitum quibus inclusum in curia senatum Salamine obsederat ut fame senatores quinque morerentur	Cic.Att.6.1.6	Fuerat enim praefectus Appio, et quidem habuerat turmas equitum, quibus inclusum in curia senatum Salamine obsederat, ut fame senatores quinque morerentur.	Pois tinha sido prefeito de Ápio e tinha tido esquadrões de cavalarias, com os quais tinha sitiado em Salamina o senado encerrado na cúria, de modo que cinco senadores morreram de fome.	José Dejalma Dezotti	4830	fuerat enim praefectus appio et quidem habuerat turmas equitum quibus inclusum in curia senatum salamine obsederat ut fame senatores quinque morerentur	fuerat enim praefectus appio et quidem habuerat turmas equitum quibus inclusum in curia senatum salamine obsederat ut fame senatores quinque morerentur	TRUE
78575	itaque ego quo die tetigi provinciam cum mihi Cyprii legati Ephesum obviam venissent litteras misi ut equites ex insula statim decederent	Cic.Att.6.1.6	Itaque ego, quo die tetigi prouinciam, cum mihi Cyprii legati Ephesum obuiam uenissent, litteras misi ut equites ex insula statim decederent.	E assim eu, no dia em pus o pé na província, quando os legados de Chipre tinham vindo ao meu encontro em Éfeso, mandei uma carta para que os cavaleiros fossem imediatamente embora da ilha.	José Dejalma Dezotti	4831	itaque ego quo die tetigi prouinciam cum mihi cyprii legati ephesum obuiam uenissent litteras misi ut equites ex insula statim decederent	itaque ego quo die tetigi prouinciam cum mihi cyprii legati ephesum obuiam uenissent litteras misi ut equites ex insula statim decederent	TRUE
78576	his de causis credo Scaptium iniquius de me aliquid ad Brutum scripsisse	Cic.Att.6.1.6	His de causis credo Scaptium iniquius de me aliquid ad Brutum scripsisse.	Por causa dessas coisas, creio que Escápcio escreveu a Bruto algo mais injusto sobre mim.	José Dejalma Dezotti	4832	his de causis credo scaptium iniquius de me aliquid ad brutum scripsisse	his de causis credo scaptium iniquius de me aliquid ad brutum scripsisse	TRUE
78577	sed tamen hoc sum animo	Cic.Att.6.1.6	Sed tamen hoc sum animo:	Mas, mesmo assim, estou com este ânimo:	José Dejalma Dezotti	4833	sed tamen hoc sum animo	sed tamen hoc sum animo	TRUE
78579	illud quidem fatebitur Scaptius me ius dicente sibi omnem pecuniam ex edicto meo auferendi potestatem fuisse	Cic.Att.6.1.7	**7** Illud quidem fatebitur Scaptius, me ius dicente sibi omnem pecuniam ex edicto meo auferendi potestatem fuisse.	**7** Em todo caso, Escápcio reconhecerá isto: que, enquanto eu administrava a justiça, ele teve a possibilidade de auferir todo o dinheiro, de acordo com meu edito.	José Dejalma Dezotti	4835	illud quidem fatebitur scaptius me ius dicente sibi omnem pecuniam ex edicto meo auferendi potestatem fuisse	illud quidem fatebitur scaptius me ius dicente sibi omnem pecuniam ex edicto meo auferendi potestatem fuisse	TRUE
78580	addo etiam illud quod vereor tibi ipsi ut probem	Cic.Att.6.1.7	Addo etiam illud, quod uereor tibi ipsi ut probem:	Acrescento ainda algo que temo que nem mesmo de ti eu tenha aprovação:	José Dejalma Dezotti	4836	addo etiam illud quod uereor tibi ipsi ut probem	addo etiam illud quod uereor tibi ipsi ut probem	TRUE
78581	consistere usura debuit quae erat in edicto meo	Cic.Att.6.1.7	consistere usura debuit, quae erat in edicto meo;	os juros, que havia em meu edito, deviam cessar;	José Dejalma Dezotti	4837	consistere usura debuit quae erat in edicto meo	consistere usura debuit quae erat in edicto meo	TRUE
